doi,title,journal_title,year
10.1101/089367,NaviCom: A web application to create interactive molecular network portraits using multi-level omics data,bioRxiv (Cold Spring Harbor Laboratory),2016
10.1101/088815,Genome-Wide Association Study Reveals First Locus for Anorexia Nervosa and Metabolic Correlations,bioRxiv (Cold Spring Harbor Laboratory),2016
10.1101/089516,Resting State Networks in empirical and simulated dynamic functional connectivity,bioRxiv (Cold Spring Harbor Laboratory),2016
10.1101/094755,Dissecting cancer resistance to therapies with cell-type-specific dynamic logic models,bioRxiv (Cold Spring Harbor Laboratory),2016
10.1101/095588,Transcranial stimulation enhances memory-relevant sleep oscillations and their functional coupling in mild cognitive impairment,bioRxiv (Cold Spring Harbor Laboratory),2016
10.1101/098210,Refractoriness accounts for variable spike burst responses in somatosensory cortex,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/100776,Pebbles as Dry Ice Replacement for Snap Freezing of Rodents Brains,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/107243,Dynamic Functional Connectivity between Order and Randomness and its Evolution across the Human Adult Lifespan,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/111161,Metabolic enzyme cost explains variable trade-offs between microbial growth rate and yield,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/111658,Free ISG15 as a dimer generates IL-1β-producing CD8α+ dendritic cells at the site of infection,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/114405,Genome-wide association study results for educational attainment aid in identifying genetic heterogeneity of schizophrenia,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/117812,"Identifiers for the 21st century: How to design, provision, and reuse persistent identifiers to maximize utility and impact of life science data",bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/124206,Evaluation of the 3D fractal dimension as a marker of structural brain complexity in multiple-acquisition MRI,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/126524,Stereotypical modulations in dynamic functional connectivity explained by changes in BOLD variance,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/129676,Salience network dynamics underlying successful resistance of temptation,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/136499,Classification of gene signatures for their information value and functional redundancy,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/136903,A confidence-based reinforcement learning model for perceptual learning,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/138230,Switch independent task representations in frontal and parietal cortex,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/140053,Control of AMPA receptor activity by the extracellular loops of auxiliary proteins,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/139170,Cooperation And Liaison Between Universities And Editors (CLUE): Recommendations On Best Practice,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/140475,Cancer Genome Interpreter annotates the biological and clinical relevance of tumor alterations,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/140954,An amino acid motif in HLA-DRβ1 distinguishes patients with uveitis in juvenile idiopathic arthritis,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/141622,Mutations in disordered regions cause disease by creating endocytosis motifs,bioRxiv (Cold Spring Harbor Laboratory),2017
http://arxiv.org/abs/1705.10312,"Classification of Major Depressive Disorder via Multi-Site Weighted
  LASSO Model",arXiv (Cornell University),2017
10.1101/145581,Discovery of the first genome-wide significant risk loci for ADHD,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/149906,Simultaneous spike-time locking to multiple frequencies,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/156489,Voltage-gating of mechanosensitive PIEZO channels,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/157263,Inferring multi-scale neural mechanisms with brain network modelling,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/163154,Picky – a simple online method designer for targeted proteomics,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/165837,Genome-wide strategies identify molecular niches regulated by connective tissue-associated transcription factors,bioRxiv (Cold Spring Harbor Laboratory),2017
https://arxiv.org/pdf/1707.06896.pdf,Scattering correlations of time-gated light,arXiv (Cornell University),2017
10.1101/168641,Noise control is a primary function of microRNAs and post-transcriptional regulation,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/172619,Multivariate pattern analysis for MEG: a comprehensive comparison of dissimilarity measures,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/173062,Genome-wide association study identifies 30 Loci Associated with Bipolar Disorder,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/174185,YAP and TAZ regulate adherens junction dynamics and endothelial cell distribution during vascular development,bioRxiv (Cold Spring Harbor Laboratory),2017
10.7287/peerj.preprints.3185v1,Parameters tuning boosts hyperSMURF predictions of rare deleterious non-coding genetic variants,PeerJ Preprints,2017
10.1101/181040,Therapeutic targeting of PGBD5-induced DNA repair dependency in pediatric solid tumors,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/182808,Neurexin and Neuroligin-based adhesion complexes drive axonal arborisation growth independent of synaptic activity,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/184853,"GWAS meta-analysis (N=279,930) identifies new genes and functional links to intelligence",bioRxiv (Cold Spring Harbor Laboratory),2017
10.7287/peerj.preprints.3257v1,Identification of mutational signatures active in individual tumors,PeerJ Preprints,2017
10.1101/191007,Progressive change in expression of killer-like receptorsr and GPR56 expression defines the cytokine production potential of human CD4+ T memory cells,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/195271,Representational confusion: the plausible consequence of demeaning your data,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/193078,Defective synapse maturation and enhanced synaptic plasticity in Shank2-/- mice,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/196006,Embryonic and postnatal neurogenesis produce functionally distinct subclasses of dopaminergic neuron,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/199554,Ontology-based similarity calculations with an improved annotation model,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/199547,Deciphering programs of transcriptional regulation by combined deconvolution of multiple omics layers,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/210807,ACEseq – allele specific copy number estimation from whole genome sequencing,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/209270,High genetic loading of schizophrenia predicts poor response to lithium in patients with bipolar disorder: A polygenic score and cross-trait genetic analysis,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/216291,"Characterization of Glycosylphosphatidylinositol Biosynthesis Defects by Clinical Features, Flow Cytometry, and Automated Image Analysis",bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/219394,Advances in computer-assisted syndrome recognition and differentiation in a set of metabolic disorders,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/222786,Transcriptomic Imputation of Bipolar Disorder and Bipolar subtypes reveals 29 novel associated genes,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/224774,Common risk variants identified in autism spectrum disorder,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/227967,Overestimating environmental volatility increases switching behavior and is linked to activation of dorsolateral prefrontal cortex in schizophrenia,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/228569,Non-blocking modulation as the major mechanism of sodium channel inhibition by riluzole,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/230102,Evolutionary plasticity in the innate immune function of Akirin,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/233148,Leishmania naiffi and Leishmania guyanensis reference genomes highlight genome structure and gene evolution in the Viannia subgenus,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/234344,Reliable detection of translational regulation with Ribo-seq,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/234492,Unbiased classification of mosquito blood cells by single-cell genomics and high-content imaging,bioRxiv (Cold Spring Harbor Laboratory),2017
10.1101/237297,Genetic structure and sex-biased gene flow in the history of southern African populations,bioRxiv (Cold Spring Harbor Laboratory),2017
10.2139/ssrn.3237723,Cerebrospinal Fluid Biomarkers for Predicting Development of Multiple Sclerosis in Acute Optic Neuritis: A Population-Based Prospective Cohort Study,Social Science Research Network,2018
10.2139/ssrn.3255819,Global Text Mining and Development of Pharmacogenomic Knowledge Resource for Precision Medicine,Social Science Research Network,2018
10.2139/ssrn.3188454,Identification of <i>cis</i> Elements for Spatio-temporal Control of DNA Replication,Social Science Research Network,2018
10.2139/ssrn.3221416,Late Acute Periprosthetic Joint Infections; When Should the Implant Be Removed?,Social Science Research Network,2018
10.2139/ssrn.3247882,Long-Term Outcomes with Subcutaneous C1-Inhibitor Replacement Therapy for Prevention of Hereditary Angioedema Attacks: An Open-Label Extension Study of the COMPACT Trial,Social Science Research Network,2018
10.2139/ssrn.3231853,Molecular Mechanisms of an All-Purpose Transcription Anti-Termination Factor,Social Science Research Network,2018
10.2139/ssrn.3307649,PLCG2 Protective Variant p.P522R Modulates Tau Pathology and Disease Progression in Patients with Mild Cognitive Impairment,Social Science Research Network,2018
10.2139/ssrn.3155713,Postsynaptic GABABRs Inhibit L-Type Calcium Channels and Abolish Long-Term Potentiation in Hippocampal Somatostatin Interneurons,Social Science Research Network,2018
10.2139/ssrn.3289794,Prevention Medicine in Bilateral Phaeochromocytoma,Social Science Research Network,2018
10.2139/ssrn.3299436,The Liver-Stage <i>Plasmodium</i> Infection is a Critical Checkpoint for Development of Experimental Cerebral Malaria,Social Science Research Network,2018
10.20944/preprints201801.0034.v1,"Cigarette Smoking Promotes Infection of Cervical Cells by High-Risk Human Papillomaviruses, but not Subsequent E7 Oncoprotein Expression",Preprints.org,2018
10.1101/243709,Comparative Network Reconstruction using Mixed Integer Programming,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/243600,Modelling Signalling Networks from Perturbation Data,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/245506,Fine-mapping of an expanded set of type 2 diabetes loci to single-variant resolution using high-density imputation and islet-specific epigenome maps,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/250431,Evaluating Cell Identity from Transcription Profiles,bioRxiv (Cold Spring Harbor Laboratory),2018
http://arxiv.org/abs/1801.07244,"To jump or not to jump: The Bereitschaftspotential required to jump into
  192-meter abyss",arXiv (Cornell University),2018
10.1101/255083,To jump or not to jump: The Bereitschaftspotential required to jump into 192-meter abyss,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/258947,Two parallel pathways implement robust propionate catabolism and detoxification in mycobacteria,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/261743,Whole genome analysis illustrates global clonal population structure of the ubiquitous dermatophyte pathogenTrichophyton rubrum,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/265637,Modeling brain dynamics in brain tumor patients using The Virtual Brain,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/258533,Genetic meta-analysis identifies 9 novel loci and functional pathways for Alzheimer’s disease risk,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/271148,Efficient differentiation of vascular endothelial cells from dermal-derived mesenchymal stem cells induced by endothelial cell lines conditioned medium,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/271932,A prostaglandin alpha F2 analog protects from statin-induced myopathic changes in primary human muscle cells,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/273045,Non-canonical HIF-1 stabilization is essential for intestinal tumorigenesis,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/277590,Subject-specificity of the correlation between large-scale structural and functional connectivity,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/277624,Differentiation of Alzheimer’s disease based on local and global parameters in personalized Virtual Brain models,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/278937,Expansion stimulated emission depletion microscopy (ExSTED),bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/282699,DIA-NN: Deep neural networks substantially improve the identification performance of Data-independent acquisition (DIA) in proteomics,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/282921,Distinct housing conditions reveal a major impact of adaptive immunity on the course of obesity-induced type 2 diabetes,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/282871,Mutant Plasticity Related Gene 1 (PRG1) acts as a potential modifier in SCN1A related epilepsy,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/283838,Active information sampling varies across the cardiac cycle,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/285650,Identification ofciselements for spatio-temporal control of DNA replication,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/286617,Low frequency and rare coding variation contributes to multiple sclerosis risk,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/197111,Systematic analysis of mouse genome reveals distinct evolutionary and functional properties among circadian and ultradian genes,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/295139,High prevalence of S. pyogenes Cas9-specific T cell sensitization within the adult human population – A balanced effector/regulatory T cell response,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/295105,Auxiliary subunits keep AMPA receptors compact during activation and desensitization,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/295899,When more is less: Dual phosphorylation protects signaling off-state against overexpression,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/289363,MDM4 is an essential disease driver targeted by 1q gain in Burkitt lymphoma,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/297739,"Placental-expanded, mesenchymal cells improve muscle function following hip arthroplasty",bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/303909,Thrombocytopenia Microcephaly Syndrome - a novel phenotype associated withACTBmutations,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/304451,Co-existing feedback loops generate tissue-specific circadian rhythms,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/305706,"Dynamics of ion fluxes between neurons, astrocytes and the extracellular space during neurotransmission",bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/305839,T cell responses to nonstructural protein 3 distinguish infections by Dengue and Zika viruses,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/311472,pheno-seq – linking morphological features to gene expression in 3D cell culture systems,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/312736,"Evaluation of Sb-1 bacteriophage activity in enhancing antibiotic efficacy against biofilm, degrading the exopolysaccharide matrix and targeting persister cells of Staphylococcus aureus",bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/314641,Estrus-Cycle Regulation of Cortical Inhibition,bioRxiv (Cold Spring Harbor Laboratory),2018
10.20944/preprints201805.0099.v1,What Does the Future Hold for Yellow Fever Virus? (I),Preprints.org,2018
10.1101/322008,Lead-DBS v2: Towards a comprehensive pipeline for deep brain stimulation imaging,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/324053,Phenotero: annotate as you write,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/330050,Critical role for Piccolo in Synaptic Vesicle Retrieval,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/337923,Specialized mechanoreceptor systems in rodent glabrous skin,bioRxiv (Cold Spring Harbor Laboratory),2018
10.7287/peerj.preprints.26979v1,"Evolutionary-rooted models for denial of pregnancy, concealment of pregnancy and pseudocyesis",PeerJ Preprints,2018
10.1101/340844,Cell type-dependent differential activation of ERK by oncogenic KRAS in colon cancer and intestinal epithelium,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/343954,BigStitcher: Reconstructing high-resolution image datasets of cleared and expanded samples,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/348227,VGLUT2 functions as a differential marker for hippocampal output neurons,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/356832,Incomplete penetrance for isolated congenital asplenia in humans with mutations in translated and untranslated RPSA exons,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/365429,Long non-coding RNAs defining major subtypes of B cell precursor acute lymphoblastic leukemia,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/366856,A harmonized meta-knowledgebase of clinical interpretations of cancer genomic variants,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/366161,Short-term aerobic training does not improve memory functioning in relapsing remitting multiple sclerosis – a randomized controlled trial,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/382457,Cancer cell lipid class homeostasis is altered under nutrient-deprivation but stable under hypoxia,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/389437,Identification and Ranking of Recurrent Neo-Epitopes in Cancer,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/390393,Sodium chloride is an ionic checkpoint for human Th2 cell responses and shapes the atopic skin microenvironment,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/397935,HTSlib-js: Developer toolkit for a client-side JavaScript interface for HTSlib,bioRxiv (Cold Spring Harbor Laboratory),2018
http://arxiv.org/abs/1808.08986,The Behrens-Fisher Problem with Covariates and Baseline Adjustments,arXiv (Cornell University),2018
10.1101/401174,The context-dependent nature of the neural implementation of intentions,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/410480,Involving patients and publics in medical and health care research studies: an exploratory survey on participant recruiting and representativeness from the perspective of study authors,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/413286,Cortico-basal-ganglia communication: Temporally structured activity for selective motor control,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/416008,Genome-wide association study of suicide attempt in psychiatric disorders identifies association with major depression polygenic risk scores,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/422386,Impact of cancer mutational signatures on transcription factor motifs in the human genome,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/423756,MYCN-induced metabolic rewiring creates novel therapeutic vulnerabilities in neuroblastoma,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/427963,Macrophages protect against loss of adipose tissue during cancer cachexia,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/431445,Emergence of robust nucleosome patterns from an interplay of positioning mechanisms,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/433334,Synchronised spiking activity underlies phase amplitude coupling in the subthalamic nucleus of Parkinson’s disease patients,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/438176,The dynamic proteome of influenza A virus infection identifies M segment splicing as a host range determinant,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/433367,Genome-wide meta-analysis of depression identifies 102 independent variants and highlights the importance of the prefrontal brain regions,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/439034,Altered orbitofrontal sulcogyral patterns in gambling disorder: a multicenter study,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/440719,Light induced synaptic vesicle autophagy,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/443770,Transition of Wnt signaling microenvironment delineates the squamo-columnar junction and emergence of squamous metaplasia of the cervix,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/436113,"Variably methylated regions in the newborn epigenome: environmental, genetic and combined influences",bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/449181,Gating modules of the AMPA receptor pore domain revealed by unnatural amino acid mutagenesis,bioRxiv (Cold Spring Harbor Laboratory),2018
https://arxiv.org/pdf/1810.09578.pdf,Bioresorbable Scaffold Visualization in IVOCT Images Using CNNs and Weakly Supervised Localization,arXiv (Cornell University),2018
10.1101/449363,Polygenic scores for major depressive disorder and depressive symptoms predict response to lithium in patients with bipolar disorder,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/450650,Influence of nutritional tyrosine on cognition and functional connectivity in healthy old humans,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/455758,Single synapse indicators of impaired glutamate clearance derived from fast iGluu imaging of cortical afferents in the striatum of normal and Huntington (Q175) mice,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/456228,Surface tension determines tissue shape and growth kinetics,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/459255,The Aryl Hydrocarbon Receptor senses the Henna pigment Lawsone and mediates Yin-Yang effects on skin homeostasis,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/460444,Epigenome-wide meta-analysis of blood DNA methylation and its association with subcortical volumes: findings from the ENIGMA Epigenetics Working Group,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/462358,Intramolecular domain dynamics regulate synaptic MAGUK protein interactions,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/463141,Subthalamic nucleus and sensorimotor cortex activity during speech production,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/469494,RIM-BP2 primes synaptic vesicles via recruitment of Munc13-1 at hippocampal mossy fiber synapses,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/467746,Benchmarking university medical centres for responsible metrics: A cross sectional study on timely results dissemination across 36 German centres,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/469023,Genetic variation in the Major Histocompatibility Complex and association with depression,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/473421,Overly strong priors for socially meaningful visual signals in psychosis proneness,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/473306,PEDIA: Prioritization of Exome Data by Image Analysis,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/477513,Olanzapine: a full and potent agonist at the hM4D(Gi) DREADD amenable to clinical translation of chemogenetics,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/480384,Cell-specific CRISPR/Cas9 activation by microRNA-dependent expression of anti-CRISPR proteins,bioRxiv (Cold Spring Harbor Laboratory),2018
10.21203/rs.2.36/v1,Evaluating mechanisms of postoperative delirium and cognitive dysfunction following elective spine surgery in elderly patients (CONFESS): study protocol for a prospective observational trial,Research Square,2018
10.1101/481689,The impact of ischemic stroke on connectivity gradients,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/489997,New graph-theoretical-multimodal approach using temporal and structural correlations reveal disruption in the thalamo-cortical network in patients with schizophrenia,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/489161,Reduced Resting-State Connectivity in the Precuneus is correlated with Apathy in Patients with Schizophrenia,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/492512,A generative learning model for saccade adaptation,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/490904,The impact of biological sex on alternative splicing,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/493452,Rapid active zone remodeling consolidates presynaptic potentiation,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/496760,A novel non-invasive method to detect gut barrier related changes during a gastrointestinal nematode infection,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/498725,Neural correlates of cue-induced changes in decision-making distinguish subjects with gambling disorder from healthy controls,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/495903,Qtlizer: comprehensive QTL annotation of GWAS results,bioRxiv (Cold Spring Harbor Laboratory),2018
10.21203/rs.2.55/v2,"Liberal transfusion strategy to prevent mortality and anaemia-associated, ischaemic events in elderly non-cardiac surgical patients – the study design of the LIBERAL-Trial",Research Square,2018
10.1101/502369,The sensory coding of warm perception,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/502864,Use of IFNγ/IL10 ratio for stratification of hydrocortisone therapy in patients with septic shock,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/505362,Saturation mutagenesis of disease-associated regulatory elements,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/506576,Altered resting state functional connectivity in a thalamo-cortico-cerebellar network in patients with schizophrenia,bioRxiv (Cold Spring Harbor Laboratory),2018
10.1101/508754,Prohibitin is a prognostic marker of relapse and therapeutic target to block chemotherapy resistance in Wilms tumor,bioRxiv (Cold Spring Harbor Laboratory),2018
10.2139/ssrn.3506189,<i>BRAF</i> Mutation Testing in Lynch Syndrome Diagnostics: Performance and Efficiency According to Patient's Age,Social Science Research Network,2019
10.2139/ssrn.3353384,Allogeneic Transplantation in Multiple Myeloma: Long-Term Follow-Up and Cytogenetic Subgroup Analysis,Social Science Research Network,2019
10.2139/ssrn.3345546,An Allosteric Anti-Tryptase Antibody for the Treatment of Mast Cell-Mediated Severe Asthma,Social Science Research Network,2019
10.2139/ssrn.3310634,An Estimate of the Global Prevalence and Burden of Obstructive Sleep Apnoea,Social Science Research Network,2019
10.2139/ssrn.3360114,Biomarker Based and Individualized Prognosis for Patients with Mild Cognitive Impairment: Towards a Personalized Medicine Approach for AD,Social Science Research Network,2019
10.2139/ssrn.3491904,"Canakinumab for Treatment of Adult Onset Still's Disease to Achieve Reduction of Arthritic Manifestation (CONSIDER): A Phase 2, Multi-Centre, Placebo-Controlled Study",Social Science Research Network,2019
10.2139/ssrn.3378696,Changes in Human Gut Microbiota Composition Are Linked to the Energy Metabolic Switch During Ten Days of Fasting,Social Science Research Network,2019
10.2139/ssrn.3372436,"Cisplatin and 5-Fluorouracil with or Without Epidermal Growth Factor Receptor Inhibition Panitumumab for Patients with Non-Resectable, Advanced or Metastatic Esophageal Squamous Cell Cancer: A Prospective, Open-Label, Randomised Phase 3 AIO/EORTC Trial (Power)",Social Science Research Network,2019
10.2139/ssrn.3470400,Cytotoxic and Helper T Cell Memory is Programmed by Mhc-Independent Generic Programs,Social Science Research Network,2019
10.2139/ssrn.3416695,Delayed Diagnosis of Hidradenitis Suppurativa and Its Effect on Patients and Healthcare System,Social Science Research Network,2019
10.2139/ssrn.3323373,DypFISH: Dynamic Patterned FISH to Interrogate RNA and Protein Spatial and Temporal Subcellular Distribution,Social Science Research Network,2019
10.2139/ssrn.3432467,Epigenetic Regulator Genes Direct the Fate of Multipotent Progenitor Cell of Origin in Lineage Switched <i>MLL-AF4</i> Leukaemia,Social Science Research Network,2019
