city,ncts
Berlin,NCT01049971
Berlin,NCT01050686
Berlin,NCT01054937
Berlin,NCT01057043
Berlin,NCT01058538
Berlin,NCT01061190
Berlin,NCT01061229
Berlin,NCT01061931
Berlin,NCT01064934
Berlin,NCT01065246
Berlin,NCT01079689
Berlin,NCT01081574
Berlin,NCT01082302
Berlin,NCT01105143
Berlin,NCT01106365
Berlin,NCT01109966
Berlin,NCT01112579
Berlin,NCT01117519
Berlin,NCT01117597
Berlin,NCT01117649
Berlin,NCT01122693
Berlin,NCT01143233
Berlin,NCT01144429
Berlin,NCT01148173
Berlin,NCT01157962
Berlin,NCT01165970
Berlin,NCT01170052
Berlin,NCT01170936
Berlin,NCT01170949
Berlin,NCT01176110
Berlin,NCT01178255
Berlin,NCT01179789
Berlin,NCT01179971
Berlin,NCT01181401
Berlin,NCT01183767
Berlin,NCT01184430
Berlin,NCT01187277
Berlin,NCT01187797
Berlin,NCT01199133
Berlin,NCT01200784
Berlin,NCT01218165
Berlin,NCT01219231
Berlin,NCT01219244
Berlin,NCT01220544
Berlin,NCT01221779
Berlin,NCT01225133
Berlin,NCT01228123
Berlin,NCT01234662
Berlin,NCT01242423
Berlin,NCT01258257
Berlin,NCT01259830
Berlin,NCT01263977
Berlin,NCT01263990
Berlin,NCT01264549
Berlin,NCT01266655
Berlin,NCT01271075
Berlin,NCT01271595
Berlin,NCT01272050
Berlin,NCT01274702
Berlin,NCT01277315
Berlin,NCT01278537
Berlin,NCT01286610
Berlin,NCT01303588
Berlin,NCT01306552
Berlin,NCT01319370
Berlin,NCT01328210
Berlin,NCT01330901
Berlin,NCT01349400
Berlin,NCT01349790
Berlin,NCT01357681
Berlin,NCT01357694
Berlin,NCT01370044
Berlin,NCT01374789
Berlin,NCT01382862
Berlin,NCT01388621
Berlin,NCT01390350
Berlin,NCT01402739
Berlin,NCT01413243
Berlin,NCT01417312
Berlin,NCT01418742
Berlin,NCT01440062
Berlin,NCT01444196
Berlin,NCT01449513
Berlin,NCT01456702
Berlin,NCT01458457
Berlin,NCT01458548
Berlin,NCT01466465
Berlin,NCT01468220
Berlin,NCT01471782
Berlin,NCT01481909
Berlin,NCT01498731
Berlin,NCT01503372
Berlin,NCT01503957
Berlin,NCT01523938
Berlin,NCT01525667
Berlin,NCT01528839
Berlin,NCT01532453
Berlin,NCT01538355
Berlin,NCT01540383
Berlin,NCT01541579
Berlin,NCT01566825
Berlin,NCT01578213
Berlin,NCT01580592
Berlin,NCT01582724
Berlin,NCT01582893
Berlin,NCT01584505
Berlin,NCT01586091
Berlin,NCT01586702
Berlin,NCT01593956
Berlin,NCT01600573
Berlin,NCT01601756
Berlin,NCT01601769
Berlin,NCT01605487
Berlin,NCT01622166
Berlin,NCT01625572
Berlin,NCT01631123
Berlin,NCT01634204
Berlin,NCT01647880
Berlin,NCT01653067
Berlin,NCT01655979
Berlin,NCT01657292
Berlin,NCT01662232
Berlin,NCT01679990
Berlin,NCT01681173
Berlin,NCT01693393
Berlin,NCT01701713
Berlin,NCT01701843
Berlin,NCT01703273
Berlin,NCT01704872
Berlin,NCT01710228
Berlin,NCT01716832
Berlin,NCT01720420
Berlin,NCT01727362
Berlin,NCT01727375
Berlin,NCT01731249
Berlin,NCT01740544
Berlin,NCT01741584
Berlin,NCT01745263
Berlin,NCT01753050
Berlin,NCT01770080
Berlin,NCT01771211
Berlin,NCT01782365
Berlin,NCT01782391
Berlin,NCT01785082
Berlin,NCT01788800
Berlin,NCT01790022
Berlin,NCT01791790
Berlin,NCT01797315
Berlin,NCT01797887
Berlin,NCT01801280
Berlin,NCT01801787
Berlin,NCT01802814
Berlin,NCT01811589
Berlin,NCT01815528
Berlin,NCT01829347
Berlin,NCT01832740
Berlin,NCT01836588
Berlin,NCT01840839
Berlin,NCT01840865
Berlin,NCT01845129
Berlin,NCT01845142
Berlin,NCT01856322
Berlin,NCT01864707
Berlin,NCT01865578
Berlin,NCT01865604
Berlin,NCT01870271
Berlin,NCT01878630
Berlin,NCT01887899
Berlin,NCT01888029
Berlin,NCT01888055
Berlin,NCT01893073
Berlin,NCT01914965
Berlin,NCT01921972
Berlin,NCT01923493
Berlin,NCT01924702
Berlin,NCT01928810
Berlin,NCT01928823
Berlin,NCT01933191
Berlin,NCT01947595
Berlin,NCT01953549
Berlin,NCT01954836
Berlin,NCT01960647
Berlin,NCT01963793
Berlin,NCT01966783
Berlin,NCT01969097
Berlin,NCT01974011
Berlin,NCT01984788
Berlin,NCT02010957
Berlin,NCT02019134
Berlin,NCT02019498
Berlin,NCT02020044
Berlin,NCT02022592
Berlin,NCT02042092
Berlin,NCT02048137
Berlin,NCT02052960
Berlin,NCT02071615
Berlin,NCT02078947
Berlin,NCT02090686
Berlin,NCT02092974
Berlin,NCT02094287
Berlin,NCT02096068
Berlin,NCT02096913
Berlin,NCT02098759
Berlin,NCT02099968
Berlin,NCT02102594
Berlin,NCT02110043
Berlin,NCT02110056
Berlin,NCT02110407
Berlin,NCT02110524
Berlin,NCT02113800
Berlin,NCT02129413
Berlin,NCT02157454
Berlin,NCT02158988
Berlin,NCT02160899
Berlin,NCT02163863
Berlin,NCT02169115
Berlin,NCT02171416
Berlin,NCT02204267
Berlin,NCT02204293
Berlin,NCT02213367
Berlin,NCT02216526
Berlin,NCT02223091
Berlin,NCT02227641
Berlin,NCT02232828
Berlin,NCT02251535
Berlin,NCT02253056
Berlin,NCT02268695
Berlin,NCT02290028
Berlin,NCT02295397
Berlin,NCT02295735
Berlin,NCT02296372
Berlin,NCT02299089
Berlin,NCT02308462
Berlin,NCT02314572
Berlin,NCT02338388
Berlin,NCT02339597
Berlin,NCT02340299
Berlin,NCT02345278
Berlin,NCT02357706
Berlin,NCT02358265
Berlin,NCT02364219
Berlin,NCT02371434
Berlin,NCT02372435
Berlin,NCT02379000
Berlin,NCT02387112
Berlin,NCT02387697
Berlin,NCT02392689
Berlin,NCT02395874
Berlin,NCT02398877
Berlin,NCT02400229
Berlin,NCT02421172
Berlin,NCT02422563
Berlin,NCT02433470
Berlin,NCT02437721
Berlin,NCT02453867
Berlin,NCT02453906
Berlin,NCT02456948
Berlin,NCT02470013
Berlin,NCT02470026
Berlin,NCT02478021
Berlin,NCT02478034
Berlin,NCT02478957
Berlin,NCT02487576
Berlin,NCT02506322
Berlin,NCT02507492
Berlin,NCT02509897
Berlin,NCT02509962
Berlin,NCT02519582
Berlin,NCT02523664
Berlin,NCT02540395
Berlin,NCT02541071
Berlin,NCT02541344
Berlin,NCT02543749
Berlin,NCT02552654
Berlin,NCT02557698
Berlin,NCT02566369
Berlin,NCT02569619
Berlin,NCT02576613
Berlin,NCT02583191
Berlin,NCT02587533
Berlin,NCT02589418
Berlin,NCT02596126
Berlin,NCT02599480
Berlin,NCT02599740
Berlin,NCT02605668
Berlin,NCT02615977
Berlin,NCT02631161
Berlin,NCT02632292
Berlin,NCT02633072
Berlin,NCT02633228
Berlin,NCT02633449
Berlin,NCT02649907
Berlin,NCT02658370
Berlin,NCT02662803
Berlin,NCT02664805
Berlin,NCT02665689
Berlin,NCT02667964
Berlin,NCT02669511
Berlin,NCT02676414
Berlin,NCT02685696
Berlin,NCT02694926
Berlin,NCT02710721
Berlin,NCT02711202
Berlin,NCT02720952
Berlin,NCT02726048
Berlin,NCT02732782
Berlin,NCT02733367
Berlin,NCT02737150
Berlin,NCT02740361
Berlin,NCT02741973
Berlin,NCT02747758
Berlin,NCT02747784
Berlin,NCT02754466
Berlin,NCT02755246
Berlin,NCT02758782
Berlin,NCT02767167
Berlin,NCT02793557
Berlin,NCT02794259
Berlin,NCT02794272
Berlin,NCT02794298
Berlin,NCT02795702
Berlin,NCT02795715
Berlin,NCT02799706
Berlin,NCT02801513
Berlin,NCT02808793
Berlin,NCT02814097
Berlin,NCT02839993
Berlin,NCT02850341
Berlin,NCT02861534
Berlin,NCT02869386
Berlin,NCT02879682
Berlin,NCT02888236
Berlin,NCT02893800
Berlin,NCT02896062
Berlin,NCT02896491
Berlin,NCT02906475
Berlin,NCT02908308
Berlin,NCT02930590
Berlin,NCT02936388
Berlin,NCT02947542
Berlin,NCT02963298
Berlin,NCT02967302
Berlin,NCT02971787
Berlin,NCT03001960
Berlin,NCT03019861
Berlin,NCT03020368
Berlin,NCT03024567
Berlin,NCT03031405
Berlin,NCT03035669
Berlin,NCT03046381
Berlin,NCT03062150
Berlin,NCT03074591
Berlin,NCT03081897
Berlin,NCT03094520
Berlin,NCT03094546
Berlin,NCT03097146
Berlin,NCT03104166
Berlin,NCT03109028
Berlin,NCT03114306
Berlin,NCT03121885
Berlin,NCT03127020
Berlin,NCT03129828
Berlin,NCT03149107
Berlin,NCT03157076
Berlin,NCT03162289
Berlin,NCT03189953
Berlin,NCT03216148
Berlin,NCT03220386
Berlin,NCT03227081
Berlin,NCT03240237
Berlin,NCT03240380
Berlin,NCT03240627
Berlin,NCT03260010
Berlin,NCT03281135
Berlin,NCT03281616
Berlin,NCT03312816
Berlin,NCT03348852
Berlin,NCT03369938
Berlin,NCT03383770
Berlin,NCT03399383
Berlin,NCT03402074
Berlin,NCT03402685
Berlin,NCT03432611
Berlin,NCT03444103
Berlin,NCT03463317
Berlin,NCT03466112
Berlin,NCT03485716
Berlin,NCT03489733
Berlin,NCT03507777
Berlin,NCT03507829
Berlin,NCT03508414
Berlin,NCT03512925
Berlin,NCT03513744
Berlin,NCT03524430
Berlin,NCT03525093
Berlin,NCT03547388
Berlin,NCT03562312
Berlin,NCT03590171
Berlin,NCT03590496
Berlin,NCT03615911
Berlin,NCT03624231
Berlin,NCT03625167
Berlin,NCT03629665
Berlin,NCT03636139
Berlin,NCT03646097
Berlin,NCT03652220
Berlin,NCT03671005
Berlin,NCT03671447
Berlin,NCT03691441
Berlin,NCT03700905
Berlin,NCT03723239
Berlin,NCT03749135
Berlin,NCT03749148
Berlin,NCT03759249
Berlin,NCT03773081
Berlin,NCT03793114
Berlin,NCT03807479
Berlin,NCT03824886
Berlin,NCT03825900
Berlin,NCT03857984
Bochum,NCT00255112
Bochum,NCT00328536
Bochum,NCT00419406
Bochum,NCT00430508
Bochum,NCT00430950
Bochum,NCT00483275
Bochum,NCT00494884
Bochum,NCT00511277
Bochum,NCT00558662
Bochum,NCT00561990
Bochum,NCT00662714
Bochum,NCT00751504
Bochum,NCT00751959
Bochum,NCT00785460
Bochum,NCT00938574
Bochum,NCT01049373
Bochum,NCT01065311
Bochum,NCT01065337
Bochum,NCT01088256
Bochum,NCT01199783
Bochum,NCT01208649
Bochum,NCT01212302
Bochum,NCT01242345
Bochum,NCT01242358
Bochum,NCT01249677
Bochum,NCT01342601
Bochum,NCT01385735
Bochum,NCT01400022
Bochum,NCT01400100
Bochum,NCT01402414
Bochum,NCT01405313
Bochum,NCT01470677
Bochum,NCT01481155
Bochum,NCT01540877
Bochum,NCT01590992
Bochum,NCT01618565
Bochum,NCT01627938
Bochum,NCT01680237
Bochum,NCT01809379
Bochum,NCT01812304
Bochum,NCT01854255
Bochum,NCT01888783
Bochum,NCT01900327
Bochum,NCT01913899
Bochum,NCT01914965
Bochum,NCT01915329
Bochum,NCT01921088
Bochum,NCT02000336
Bochum,NCT02077205
Bochum,NCT02135926
Bochum,NCT02189408
Bochum,NCT02231658
Bochum,NCT02313493
Bochum,NCT02330471
Bochum,NCT02342509
Bochum,NCT02406014
Bochum,NCT02421172
Bochum,NCT02468427
Bochum,NCT02475252
Bochum,NCT02475772
Bochum,NCT02476500
Bochum,NCT02506322
Bochum,NCT02515162
Bochum,NCT02520986
Bochum,NCT02532166
Bochum,NCT02605668
Bochum,NCT02669511
Bochum,NCT02687555
Bochum,NCT02705027
Bochum,NCT02760680
Bochum,NCT02787135
Bochum,NCT02910388
Bochum,NCT02958228
Bochum,NCT02963597
Bochum,NCT03031002
Bochum,NCT03092388
Bochum,NCT03098134
Bochum,NCT03105024
Bochum,NCT03112928
Bochum,NCT03233542
Bochum,NCT03335085
Bochum,NCT03430336
Bochum,NCT03505437
Bochum,NCT03563677
Bochum,NCT03587324
Bochum,NCT03780751
Bochum,NCT03860129
Bonn,NCT00107081
Bonn,NCT00122031
Bonn,NCT00124813
Bonn,NCT00126321
Bonn,NCT00132210
Bonn,NCT00147290
Bonn,NCT00159120
Bonn,NCT00159133
Bonn,NCT00165828
Bonn,NCT00221286
Bonn,NCT00326001
Bonn,NCT00369330
Bonn,NCT00373438
Bonn,NCT00373763
Bonn,NCT00385346
Bonn,NCT00391534
Bonn,NCT00478777
Bonn,NCT00504400
Bonn,NCT00507637
Bonn,NCT00510965
Bonn,NCT00545493
Bonn,NCT00558662
Bonn,NCT00617175
Bonn,NCT00617578
Bonn,NCT00625222
Bonn,NCT00637442
Bonn,NCT00659789
Bonn,NCT00691002
Bonn,NCT00749723
Bonn,NCT00751959
Bonn,NCT00763737
Bonn,NCT00770783
Bonn,NCT00837564
Bonn,NCT00895505
Bonn,NCT00902876
Bonn,NCT00904657
Bonn,NCT00980408
Bonn,NCT01047254
Bonn,NCT01072305
Bonn,NCT01095263
Bonn,NCT01125813
Bonn,NCT01149109
Bonn,NCT01191359
Bonn,NCT01217528
Bonn,NCT01225705
Bonn,NCT01234194
Bonn,NCT01240057
Bonn,NCT01315002
Bonn,NCT01326208
Bonn,NCT01367691
Bonn,NCT01372722
Bonn,NCT01387399
Bonn,NCT01484249
Bonn,NCT01539746
Bonn,NCT01561118
Bonn,NCT01563614
Bonn,NCT01578525
Bonn,NCT01606462
Bonn,NCT01607970
Bonn,NCT01615549
Bonn,NCT01633502
Bonn,NCT01651780
Bonn,NCT01694836
Bonn,NCT01701180
Bonn,NCT01778790
Bonn,NCT01820702
Bonn,NCT01852149
Bonn,NCT01906073
Bonn,NCT01914159
Bonn,NCT01917305
Bonn,NCT01921972
Bonn,NCT01939639
Bonn,NCT01972750
Bonn,NCT01991691
Bonn,NCT02012985
Bonn,NCT02034279
Bonn,NCT02067182
Bonn,NCT02156661
Bonn,NCT02280226
Bonn,NCT02281643
Bonn,NCT02329912
Bonn,NCT02339649
Bonn,NCT02364986
Bonn,NCT02413957
Bonn,NCT02479412
Bonn,NCT02501837
Bonn,NCT02522897
Bonn,NCT02537054
Bonn,NCT02544360
Bonn,NCT02611778
Bonn,NCT02678858
Bonn,NCT02701933
Bonn,NCT02761668
Bonn,NCT02820675
Bonn,NCT02825784
Bonn,NCT02913053
Bonn,NCT03011970
Bonn,NCT03017326
Bonn,NCT03045198
Bonn,NCT03056495
Bonn,NCT03077165
Bonn,NCT03149107
Bonn,NCT03205267
Bonn,NCT03227757
Bonn,NCT03265899
Bonn,NCT03327168
Bonn,NCT03425929
Bonn,NCT03573596
Bonn,NCT03585413
Bonn,NCT03643549
Bonn,NCT03829839
Bonn,NCT03846739
Dresden,NCT00117702
Dresden,NCT00125606
Dresden,NCT00148746
Dresden,NCT00150878
Dresden,NCT00153972
Dresden,NCT00153998
Dresden,NCT00180050
Dresden,NCT00180076
Dresden,NCT00180089
Dresden,NCT00180102
Dresden,NCT00180128
Dresden,NCT00180141
Dresden,NCT00180167
Dresden,NCT00180388
Dresden,NCT00188136
Dresden,NCT00236171
Dresden,NCT00237978
Dresden,NCT00299559
Dresden,NCT00307450
Dresden,NCT00324675
Dresden,NCT00337519
Dresden,NCT00372177
Dresden,NCT00419081
Dresden,NCT00422773
Dresden,NCT00422890
Dresden,NCT00441415
Dresden,NCT00445081
Dresden,NCT00449995
Dresden,NCT00460629
Dresden,NCT00507494
Dresden,NCT00521664
Dresden,NCT00531726
Dresden,NCT00551954
Dresden,NCT00609310
Dresden,NCT00610142
Dresden,NCT00655512
Dresden,NCT00659321
Dresden,NCT00673205
Dresden,NCT00673647
Dresden,NCT00678756
Dresden,NCT00705965
Dresden,NCT00720850
Dresden,NCT00732329
Dresden,NCT00751465
Dresden,NCT00757159
Dresden,NCT00786292
Dresden,NCT00804271
Dresden,NCT00823225
Dresden,NCT00824447
Dresden,NCT00847964
Dresden,NCT00862511
Dresden,NCT00891826
Dresden,NCT00893373
Dresden,NCT00902941
Dresden,NCT00904254
Dresden,NCT00906763
Dresden,NCT00909818
Dresden,NCT00923234
Dresden,NCT01009372
Dresden,NCT01022099
Dresden,NCT01022177
Dresden,NCT01073358
Dresden,NCT01073917
Dresden,NCT01074671
Dresden,NCT01111448
Dresden,NCT01146821
Dresden,NCT01153750
Dresden,NCT01220856
Dresden,NCT01231854
Dresden,NCT01246752
Dresden,NCT01247831
Dresden,NCT01295307
Dresden,NCT01317446
Dresden,NCT01363362
Dresden,NCT01382914
Dresden,NCT01388231
Dresden,NCT01410903
Dresden,NCT01441791
Dresden,NCT01442610
Dresden,NCT01462578
Dresden,NCT01612754
Dresden,NCT01661569
Dresden,NCT01679990
Dresden,NCT01683578
Dresden,NCT01692041
Dresden,NCT01745263
Dresden,NCT01769053
Dresden,NCT01802645
Dresden,NCT01809847
Dresden,NCT01812993
Dresden,NCT01830361
Dresden,NCT01907828
Dresden,NCT01947595
Dresden,NCT01954914
Dresden,NCT02039479
Dresden,NCT02040441
Dresden,NCT02045550
Dresden,NCT02084173
Dresden,NCT02137798
Dresden,NCT02138552
Dresden,NCT02140242
Dresden,NCT02144948
Dresden,NCT02148692
Dresden,NCT02153294
Dresden,NCT02156791
Dresden,NCT02157090
Dresden,NCT02157363
Dresden,NCT02168790
Dresden,NCT02189967
Dresden,NCT02196545
Dresden,NCT02212015
Dresden,NCT02220764
Dresden,NCT02229266
Dresden,NCT02275884
Dresden,NCT02335268
Dresden,NCT02384733
Dresden,NCT02393872
Dresden,NCT02446145
Dresden,NCT02452294
Dresden,NCT02461537
Dresden,NCT02506322
Dresden,NCT02534285
Dresden,NCT02547519
Dresden,NCT02552589
Dresden,NCT02588066
Dresden,NCT02605668
Dresden,NCT02612220
Dresden,NCT02615977
Dresden,NCT02620072
Dresden,NCT02620553
Dresden,NCT02652585
Dresden,NCT02658643
Dresden,NCT02676791
Dresden,NCT02687555
Dresden,NCT02688140
Dresden,NCT02705456
Dresden,NCT02731001
Dresden,NCT02731105
Dresden,NCT02732626
Dresden,NCT02766686
Dresden,NCT02782910
Dresden,NCT02824731
Dresden,NCT02834338
Dresden,NCT02845791
Dresden,NCT02847260
Dresden,NCT02936739
Dresden,NCT02936765
Dresden,NCT02963025
Dresden,NCT02992860
Dresden,NCT03004430
Dresden,NCT03032133
Dresden,NCT03047564
Dresden,NCT03080792
Dresden,NCT03089060
Dresden,NCT03162653
Dresden,NCT03182322
Dresden,NCT03211494
Dresden,NCT03275636
Dresden,NCT03311529
Dresden,NCT03322124
Dresden,NCT03344016
Dresden,NCT03364868
Dresden,NCT03376243
Dresden,NCT03396718
Dresden,NCT03424174
Dresden,NCT03429816
Dresden,NCT03430947
Dresden,NCT03444974
Dresden,NCT03516760
Dresden,NCT03524599
Dresden,NCT03584451
Dresden,NCT03657953
Dresden,NCT03669016
Dresden,NCT03672110
Dresden,NCT03705403
Dresden,NCT03824080
Dresden,NCT03838211
Dresden,NCT03865225
Dresden,NCT03873363
Duisburg,NCT00062348
Duisburg,NCT00085059
Duisburg,NCT00125606
Duisburg,NCT00148564
Duisburg,NCT00148590
Duisburg,NCT00148616
Duisburg,NCT00159120
Duisburg,NCT00159133
Duisburg,NCT00396656
Duisburg,NCT00444431
Duisburg,NCT00475956
Duisburg,NCT00478933
Duisburg,NCT00532025
Duisburg,NCT00554164
Duisburg,NCT00558662
Duisburg,NCT00568230
Duisburg,NCT00689000
Duisburg,NCT00717340
Duisburg,NCT00733343
Duisburg,NCT00749723
Duisburg,NCT00754728
Duisburg,NCT00754975
Duisburg,NCT00758277
Duisburg,NCT00822393
Duisburg,NCT00876759
Duisburg,NCT00909025
Duisburg,NCT00924638
Duisburg,NCT00997841
Duisburg,NCT01010711
Duisburg,NCT01027884
Duisburg,NCT01047254
Duisburg,NCT01051167
Duisburg,NCT01057160
Duisburg,NCT01171274
Duisburg,NCT01171820
Duisburg,NCT01175265
Duisburg,NCT01197885
Duisburg,NCT01215266
Duisburg,NCT01216371
Duisburg,NCT01233180
Duisburg,NCT01241968
Duisburg,NCT01259518
Duisburg,NCT01289964
Duisburg,NCT01303822
Duisburg,NCT01303952
Duisburg,NCT01304368
Duisburg,NCT01309178
Duisburg,NCT01326767
Duisburg,NCT01328210
Duisburg,NCT01355120
Duisburg,NCT01377025
Duisburg,NCT01406678
Duisburg,NCT01407861
Duisburg,NCT01418053
Duisburg,NCT01418066
Duisburg,NCT01425957
Duisburg,NCT01444235
Duisburg,NCT01464463
Duisburg,NCT01500330
Duisburg,NCT01526447
Duisburg,NCT01582347
Duisburg,NCT01608984
