"doi";"open_data_manual_check";"restricted_manual_check";"has_restricted";"has_data_access";"data_access";"has_own_data";"has_data_reuse";"open_data_category_manual";"has_only_reuse"
"10.1186/s12955-023-02199-7";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1200/po.22.00555";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3324/haematol.2023.283812";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3389/fimmu.2023.1243516";FALSE;FALSE;FALSE;TRUE;"yes";FALSE;TRUE;NA;TRUE
"10.3389/fnmol.2022.1084633";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/app132111952";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/cancers15225428";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/cells12071062";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/ijms24021484";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/ijms24043569";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1007/s15010-023-01994-0";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1016/j.biomaterials.2022.121971";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1097/brs.0000000000004722";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/cancers15072048";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/cancers15184524";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/healthcare11050716";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/vaccines11101552";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1016/j.euo.2023.11.018";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3389/fnimg.2023.1228255";FALSE;FALSE;FALSE;FALSE;"reuse_access";FALSE;TRUE;NA;TRUE
"10.1016/j.ebiom.2023.104441";FALSE;FALSE;FALSE;FALSE;"reuse_access";FALSE;TRUE;NA;TRUE
"10.1038/s41467-023-36864-8";FALSE;FALSE;FALSE;FALSE;"restricted";FALSE;TRUE;NA;TRUE
"10.1371/journal.pone.0280364";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1038/s41593-023-01410-8";FALSE;FALSE;FALSE;FALSE;"restricted|restricted|restricted|restricted";FALSE;TRUE;NA;TRUE
"10.1186/s40359-023-01249-5";FALSE;FALSE;FALSE;TRUE;"yes";FALSE;FALSE;NA;FALSE
"10.1186/s13195-023-01349-9";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/cancers15030936";FALSE;FALSE;FALSE;TRUE;"yes|restricted";FALSE;TRUE;NA;TRUE
"10.1126/sciadv.abq3851";FALSE;FALSE;FALSE;FALSE;"reuse_access";FALSE;TRUE;NA;TRUE
"10.1007/s10571-023-01405-w";FALSE;FALSE;FALSE;FALSE;"reuse_access";FALSE;TRUE;NA;TRUE
"10.7554/elife.79642";FALSE;FALSE;FALSE;FALSE;"not_persistent";FALSE;FALSE;NA;FALSE
"10.1371/journal.pone.0282346";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1002/smi.3263";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1007/s00432-023-05193-0";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/cancers15051475";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1111/adb.13287";FALSE;FALSE;FALSE;FALSE;"not_persistent";FALSE;FALSE;NA;FALSE
"10.1111/jhn.13221";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.7554/elife.83484";FALSE;FALSE;FALSE;FALSE;"not_persistent";FALSE;FALSE;NA;FALSE
"10.1016/j.scr.2023.103253";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/brainsci13030516";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/jcm12175619";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1016/j.jad.2023.05.011";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1136/bmjopen-2022-068104";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/ijms24087306";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1038/s41598-023-49745-3";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1016/j.cels.2023.12.002";FALSE;FALSE;FALSE;FALSE;"reuse_access|reuse_access|reuse_access";FALSE;TRUE;NA;TRUE
"10.1007/s11136-023-03446-6";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1158/2767-9764.crc-23-0101";FALSE;FALSE;FALSE;FALSE;"reuse_access|reuse_access";FALSE;TRUE;NA;TRUE
"10.1183/13993003.01023-2023";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1007/s00345-023-04489-7";FALSE;FALSE;FALSE;FALSE;"reuse_access";FALSE;TRUE;NA;TRUE
"10.3390/cancers15082303";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1098/rsos.230568";FALSE;FALSE;FALSE;FALSE;"not_persistent";FALSE;FALSE;NA;FALSE
"10.1038/s41526-023-00273-4";FALSE;FALSE;FALSE;TRUE;"yes|yes|yes";FALSE;TRUE;NA;TRUE
"10.1002/ejp.2221";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/jcm12175763";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/diagnostics13172812";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/cancers15143650";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/cancers15133448";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/cancers15133364";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/cancers15082367";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3389/fonc.2023.1248926";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1186/s12879-023-08599-w";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1177/17588359221148023";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1136/bmjopen-2023-076415";FALSE;FALSE;FALSE;FALSE;"reuse_access";FALSE;TRUE;NA;TRUE
"10.3390/nu15071565";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/jcm12113656";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/ijms24119701";FALSE;FALSE;FALSE;FALSE;"reuse_access";FALSE;TRUE;NA;TRUE
"10.3390/cancers15123155";FALSE;FALSE;FALSE;TRUE;"yes";FALSE;TRUE;NA;TRUE
"10.3390/biom13061009";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1681/asn.2022010050";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1186/s40478-023-01662-2";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1172/jci165019";FALSE;FALSE;FALSE;FALSE;"restricted|restricted|restricted";FALSE;TRUE;NA;TRUE
"10.1002/eji.202350408";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1002/alz.081944";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1136/bmjopen-2022-071331";FALSE;FALSE;FALSE;FALSE;"reuse_access";FALSE;TRUE;NA;TRUE
"10.1111/joim.13709";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1111/hepr.13952";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1093/bjsopen/zrad080";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1038/s41598-023-38490-2";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1038/s41592-023-01785-3";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1038/s41590-023-01420-5";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1038/s41467-023-43781-3";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1016/j.neuropsychologia.2023.108588";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1016/j.bja.2022.07.054";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1007/s11682-023-00812-3";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1007/s00167-023-07432-w";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/pediatric15010020";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/children10121885";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/cancers15194897";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/biomedicines11030764";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3389/fimmu.2023.1166765";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/ph16070934";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/nu15081949";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/cancers15153909";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3389/fimmu.2022.1066456";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.2967/jnumed.123.266114";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1186/s12967-023-04502-y";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1155/2023/8462291";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1136/jitc-2023-007336";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1136/bmjgh-2023-013551";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1126/sciadv.ade7804";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1097/hep.0000000000000514";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1093/ecco-jcc/jjac190.0844";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1038/s43856-023-00250-8";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1017/s0007114523002398";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1016/j.ttbdis.2022.102087";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1016/j.paid.2022.111925";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1016/j.ebiom.2023.104616";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1016/j.bpsc.2022.10.005";FALSE;FALSE;FALSE;FALSE;"reuse_access";FALSE;TRUE;NA;TRUE
"10.1007/s13225-023-00526-3";FALSE;FALSE;FALSE;TRUE;"yes";FALSE;TRUE;NA;TRUE
"10.1007/s12031-023-02143-w";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1007/s00417-022-05944-8";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1002/eji.202250210";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3389/fpsyg.2023.1195607";FALSE;FALSE;FALSE;FALSE;"not_persistent";FALSE;FALSE;NA;FALSE
"10.3389/fneur.2022.1113811";FALSE;FALSE;FALSE;TRUE;"yes";FALSE;FALSE;NA;FALSE
"10.1038/s41467-023-38709-w";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1007/s13346-023-01289-9";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/ijms24032292";FALSE;FALSE;FALSE;TRUE;"yes|restricted";FALSE;TRUE;NA;TRUE
"10.1186/s40479-023-00215-2";FALSE;FALSE;FALSE;FALSE;"not_persistent";FALSE;FALSE;NA;FALSE
"10.2196/46980";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1016/j.scr.2023.103071";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1016/s2213-8587(22)00353-9";FALSE;FALSE;FALSE;FALSE;"pharma_data";FALSE;FALSE;NA;FALSE
"10.3390/environments10120221";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1016/j.antiviral.2022.105475";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1038/s41467-023-39147-4";FALSE;FALSE;FALSE;FALSE;"reuse_access";FALSE;TRUE;NA;TRUE
"10.1089/jicm.2022.0699";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1111/aphw.12479";FALSE;FALSE;FALSE;FALSE;"not_persistent";FALSE;FALSE;NA;FALSE
"10.1016/j.isci.2023.108050";FALSE;FALSE;FALSE;FALSE;"reuse_access|reuse_access|reuse_access";FALSE;TRUE;NA;TRUE
"10.3390/biomedicines11020526";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1038/s41467-023-38626-y";FALSE;FALSE;FALSE;FALSE;"reuse_access";FALSE;TRUE;NA;TRUE
"10.1210/clinem/dgad365";FALSE;FALSE;FALSE;TRUE;"yes";FALSE;FALSE;NA;FALSE
"10.1186/s12864-023-09830-3";FALSE;FALSE;FALSE;FALSE;"reuse_access|reuse_access|reuse_access";FALSE;TRUE;NA;TRUE
"10.1016/j.ejca.2022.09.024";FALSE;FALSE;FALSE;FALSE;"pharma_data";FALSE;FALSE;NA;FALSE
"10.1038/s41398-023-02705-x";FALSE;FALSE;FALSE;FALSE;"reuse_access|reuse_access";FALSE;TRUE;NA;TRUE
"10.3390/jcm12113778";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1016/j.schres.2023.11.010";FALSE;FALSE;FALSE;FALSE;"reuse_access|reuse_access";FALSE;TRUE;NA;TRUE
"10.1016/j.msard.2023.104846";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1111/all.15679";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.14309/ctg.0000000000000610";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1016/j.jchf.2022.11.015";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1186/s12888-023-05346-y";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/cancers15184667";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/diagnostics13040776";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1002/alz.079867";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/ijms24054961";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1002/hon.3164_159";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3892/mco.2023.2615";FALSE;FALSE;FALSE;FALSE;"reuse_access|reuse_access";FALSE;TRUE;NA;TRUE
"10.3389/fimmu.2023.1197821";FALSE;FALSE;FALSE;FALSE;"reuse_access";FALSE;TRUE;NA;TRUE
"10.3390/cancers15164089";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1038/s41598-023-46766-w";FALSE;FALSE;FALSE;FALSE;"not_persistent";FALSE;FALSE;NA;FALSE
"10.1210/clinem/dgad597";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3389/fnins.2023.1183312";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1016/j.jhep.2023.02.041";FALSE;FALSE;FALSE;FALSE;"reuse_access";FALSE;TRUE;NA;TRUE
"10.3390/cancers15235521";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1111/jnc.15842";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1371/journal.pone.0292180";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1093/bjd/ljad081";FALSE;FALSE;FALSE;FALSE;"pharma_data";FALSE;FALSE;NA;FALSE
"10.1007/s00702-023-02719-1";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1016/j.dcn.2022.101192";FALSE;FALSE;FALSE;FALSE;"not_persistent";FALSE;FALSE;NA;FALSE
"10.1093/scan/nsad073";FALSE;FALSE;FALSE;FALSE;"not_persistent";FALSE;FALSE;NA;FALSE
"10.1016/j.midw.2023.103809";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1186/s12969-023-00826-7";FALSE;FALSE;FALSE;FALSE;"restricted";FALSE;TRUE;NA;TRUE
"10.1007/s00401-022-02522-4";FALSE;FALSE;FALSE;TRUE;"yes";FALSE;TRUE;NA;TRUE
"10.1016/j.jid.2022.10.016";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1007/s00345-022-04260-4";FALSE;FALSE;FALSE;FALSE;"reuse_access";FALSE;TRUE;NA;TRUE
"10.1016/j.eclinm.2023.101936";FALSE;FALSE;FALSE;FALSE;"reuse_access";FALSE;TRUE;NA;TRUE
"10.1093/brain/awad010";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1093/bjd/ljad314";FALSE;FALSE;FALSE;FALSE;"reuse_access";FALSE;TRUE;NA;TRUE
"10.1136/jnnp-2023-331183";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1245/s10434-022-12459-3";FALSE;FALSE;FALSE;FALSE;"reuse_access|reuse_access";FALSE;TRUE;NA;TRUE
"10.3233/jad-220464";FALSE;FALSE;FALSE;FALSE;"reuse_access";FALSE;TRUE;NA;TRUE
"10.3390/ijms24010040";FALSE;FALSE;FALSE;FALSE;"reuse_access";FALSE;TRUE;NA;TRUE
"10.1111/all.15807";FALSE;FALSE;FALSE;FALSE;"reuse_access";FALSE;TRUE;NA;TRUE
"10.1016/s2214-109x(23)00007-4";FALSE;FALSE;FALSE;FALSE;"reuse_access|reuse_access|reuse_access";FALSE;TRUE;NA;TRUE
"10.1007/s10565-022-09717-1";FALSE;FALSE;FALSE;TRUE;"yes";FALSE;TRUE;NA;TRUE
"10.1002/smi.3164";FALSE;FALSE;FALSE;FALSE;"restricted";FALSE;TRUE;NA;TRUE
"10.1515/jpm-2022-0550";FALSE;FALSE;FALSE;FALSE;"reuse_access";FALSE;TRUE;NA;TRUE
"10.1017/s003329172100266x";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1037/pas0001199";FALSE;FALSE;FALSE;FALSE;"not_persistent";FALSE;FALSE;NA;FALSE
"10.1021/acs.jproteome.3c00596";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1186/s12885-023-10763-z";FALSE;FALSE;FALSE;FALSE;"reuse_access|reuse_access|reuse_access";FALSE;TRUE;NA;TRUE
"10.1093/cid/ciac745";FALSE;FALSE;FALSE;FALSE;"reuse_access|reuse_access";FALSE;TRUE;NA;TRUE
"10.1111/add.16021";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/jcm12041434";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1016/j.ajhg.2023.10.007";FALSE;FALSE;FALSE;TRUE;"yes|yes|yes";FALSE;FALSE;NA;FALSE
"10.1007/s10753-022-01756-4";FALSE;FALSE;FALSE;TRUE;"yes";FALSE;TRUE;NA;TRUE
"10.1186/s44247-023-00015-2";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1016/j.gim.2023.100856";FALSE;FALSE;FALSE;TRUE;"yes";FALSE;TRUE;NA;TRUE
"10.1093/bioadv/vbad175";FALSE;FALSE;FALSE;TRUE;"yes|yes";FALSE;TRUE;NA;TRUE
"10.3758/s13428-021-01768-2";FALSE;FALSE;FALSE;FALSE;"not_persistent|not_persistent";FALSE;FALSE;NA;FALSE
"10.3390/ijerph20075286";FALSE;FALSE;FALSE;FALSE;"reuse_access";FALSE;TRUE;NA;TRUE
"10.3389/fpsyg.2023.1113654";FALSE;FALSE;FALSE;FALSE;"not_persistent";FALSE;FALSE;NA;FALSE
"10.3324/haematol.2022.280995";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/jcm12206432";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1002/ejhf.2831";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1371/journal.pbio.3002362";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1007/s00393-022-01302-5";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1016/j.bioactmat.2023.01.017";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1016/j.celrep.2023.112934";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1016/j.neubiorev.2022.104979";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1016/j.neuroimage.2023.120463";FALSE;FALSE;FALSE;FALSE;"reuse_access";FALSE;TRUE;NA;TRUE
"10.1016/j.vaccine.2022.11.027";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1017/s0033291723000697";FALSE;FALSE;FALSE;FALSE;"reuse_access";FALSE;TRUE;NA;TRUE
"10.3389/fpsyg.2023.1139128";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1002/dad2.12463";FALSE;FALSE;FALSE;FALSE;"not_persistent";FALSE;FALSE;NA;FALSE
"10.1136/medhum-2022-012471";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1002/jmv.28450";FALSE;FALSE;FALSE;FALSE;"reuse_access|reuse_access|reuse_access|reuse_access";FALSE;TRUE;NA;TRUE
"10.1016/j.heliyon.2023.e13087";FALSE;FALSE;FALSE;FALSE;"embargo|reuse_access|reuse_access|reuse_access";FALSE;TRUE;NA;TRUE
"10.1161/strokeaha.122.041442";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/ijms24021633";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1016/j.ajhg.2023.05.009";FALSE;FALSE;FALSE;FALSE;"reuse_access";FALSE;TRUE;NA;TRUE
"10.1016/j.bbih.2023.100678";FALSE;FALSE;FALSE;FALSE;"reuse_access";FALSE;TRUE;NA;TRUE
"10.1016/j.cmpb.2023.107615";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1016/j.ecoenv.2023.114801";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1016/j.bbih.2023.100609";FALSE;FALSE;FALSE;FALSE;"reuse_access|reuse_access";FALSE;TRUE;NA;TRUE
