"referenceid";"username";"doi";"article";"is_open_data";"open_data_category";"is_reuse";"is_open_code";"open_data_statements";"open_code_statements";"reference_to_data";"comment_1_reference";"data_availability_statement";"comment_2_das";"findability";"comment_4_findability";"not_a_supplement";"comment_3_repository";"data_identifier";"repository";"data_access";"comment_5_data_access";"year_of_data_publication";"dataset_license";"comment_4_license";"license_name";"own_or_reuse_data";"comment_2_own_data";"machine_readable_format";"comment_6_machine_readability";"multi_select_excel";"multi_select_csv_tsv";"multi_select_txt_docs";"multi_select_other_text_formats";"multi_select_video";"multi_select_audio";"multi_select_picture";"multi_select_fasta_fastq";"multi_select_raw";"multi_select_genetic_sequences";"multi_select_subject_specific_format";"multi_select_unsure";"comment_7_format";"illustrative_files";"comment_8_illustrative_files";"analytical_replication";"comment_9_analytical_replication";"open_data_assessment";"comment_10_assessment";"other_comments";"comment_other_datasets";"open_data_manual_check";"restricted"
104;"Evgeny";"10.1126/sciadv.add7729";"10.1126+sciadv.add7729.txt";"TRUE";"field-specific repository, supplement";"FALSE";"FALSE";"chrs of w. lunata nies1015 (wlchr1-4) were obtained by assembling the raw data available from ncbi sra (short read archive) [sra run drr049555 (29)] with trinity v.;     <section> molecular biology and cell culture coding dna sequences of hckcr1 (mz826862) hckcr2 (mz826861) wlchr1 and b1chr2 (human codon adapted synthesized by genscript and accessible on genbank via op710241 and op710242 respectively) and chrmine ( provided by k.   <section> s8 and data s4).;     s6a and data s2).;     the complete list of searched stramenopile assemblies is provided in data s1.;     equilibrated alphafold2 models are provided in data s5.;     <section> manuscript includes the following: data s1 to s5 movie s1 table s1";"";"yes";"NULL";"yes_statement_no_data";"";"yes";"NULL";"yes";"NULL";"https://www.ncbi.nlm.nih.gov/sra/?term=DRR049555";"NCBI Sequence Read Archive (SRA)";"yes";"NULL";"2021";"no";"NULL";"NULL";"open_data_reuse";"it is not fully clear (no author names; affiliation different, as far as I see), but the authors do not refer to it as own data, and do not list this dataset in the DAS";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"";"NULL";"false";"false"
148;"Evgeny";"10.3389/fendo.2022.880002";"10.3389+fendo.2022.880002.txt";"TRUE";"field-specific repository";"FALSE";"FALSE";"this cannot be perceived equally for most of the available (inverse agonist cyan sticks) and zd7155 (green sticks table 1) are bound mainly helical bundle (pdb ids: 4zud and 4yay).;     id: 6os2) and et b r/et-3 (pdb id: 6igk) although no structure is available for the et a r yet it can be assumed that the binding mode of peptide-agonists at this receptor should be in principle similar to the binding mode observed at the agonist-bound et b r structures.";"";"no";"the detected statement is a flase positive, no reference to available data; the supplementary table is not clearly indicated as raw data, as far as I see";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"no_open_data";"NULL";"NULL";"NULL";"false";"false"
23;"Evgeny";"10.1016/j.jad.2022.03.024";"10.1016+j.jad.2022.03.024.txt";"TRUE";"general-purpose repository";"FALSE";"FALSE";"for example depressive and anxiety symptoms among finnish parents were found to increase during the pandemic (nolvi et al. 2021; nolvi et al. 2020 english preprint available from: https://doi.org/10.31234/osf.io/8htb4).;     <section> in parental depressive and anxiety symptoms from pre-pandemic to pandemic (nolvi et al. 2021; nolvi et al. 2020 english preprint available from: https://doi.org/10.31234/osf.io/8htb4).;     preprint available from: https://doi.org/10.31234/osf.io/8h tb4.";"";"no";"false positive - reference is to an OSF preprint";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"no_open_data";"false positive";"NULL";"NULL";"false";"false"
94;"Evgeny";"10.1093/plphys/kiac226";"10.1093+plphys+kiac226.txt";"TRUE";"supplement";"FALSE";"FALSE";"we also asked if lhy cca1 elf3 can adjust starch mobilization to a sudden change in irradiance or the timing of dusk (supplemental data set 1).;     numeric values are provided in supplemental data set 1.;     numeric values are provided in supplemental data set 1.;     numeric values are provided in supplemental data set 1.;     numeric values are provided in supplemental data set 1.;     numeric values are provided in supplemental data set 1.;     numeric values are provided in supplemental data set 1.;     numeric values are provided in supplemental data set 1.;     sugars rise in the light period and decrease at night in both genotypes (supplemental figure s8 data provided in supplemental data file s1).;     <section> diel oscillations of rve transcripts were damped in lhy cca1 elf3 compared to ws-2 (figure 8c; supplemental figure s9b; supplemental data set 4).;     we also performed two-way anova to test whether the 6and 18-h photoperiod time series were significantly different (i.e. desynchronized) when they were aligned to either dawn or dusk (supplemental figure s10; supplemental data set 5).;     the norm score is defined as the euclidean distance divided by its propagated error (see supplemental data set 4 for details).;     heatmap colors indicate the average value of each score for each transcript; as explained in supplemental data set 4.;     it was defined as the quotient between each sample’s weight (in grams; measured immediately prior freezing in nitrogen) and the number of individuals in each pool (supplemental data set 1).;     <section> supplemental data set 1.;     <section> supplemental data set 2.;     <section> supplemental data set 3.;     <section> supplemental data set 4.;     <section> supplemental data set 5.";"";"yes";"the reference is to supplementary data";"unsure";"we need to agree whethe rthe section ""accession numbers"" counts as a DAS; the statement is found outside of it";"yes";"NULL";"no";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"no_open_data";"shared raw data, but as a supplement on publisher website; apart from that, possibly data reuse (list of accession codes), but it is not clear whether this is raw data, and whether they were reused or just cited";"NULL";"NULL";"false";"false"
87;"Evgeny";"10.1073/pnas.2200931119";"10.1073+pnas.2200931119.txt";"TRUE";"general-purpose repository";"FALSE";"TRUE";"<section> data availability. code ai data (15) and ucl data (16) have been deposited in github fmat toolbox allen sdk and figshare. the code used for this study was adapted from the buzcode repository (https://github.com/buzsakilab/ buzcode) and the fmat toolbox (http://fmatoolbox.sourceforge.net/). the ai data are available at https://allensdk.readthedocs.io/en/latest/visual_coding_ neuropixels.html. the ucl data are available at https://?gshare.com/articles/ dataset/dataset_from_steinmetz_et_al_2019/9598406.all study data are included in the article and/or si appendix. previously published data were used for this work (15 16).";"code ai data (15) and ucl data (16) have been deposited in github fmat toolbox allen sdk and figshare.";"yes";"NULL";"yes";"NULL";"yes";"NULL";"yes";"NULL";"https://doi.org/10.6084/m9.figshare.9598406.v2";"figshare";"yes";"NULL";"2019";"yes";"NULL";"CC BY";"open_data_reuse";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"false";"false"
8;"Evgeny";"10.1007/s00134-022-06705-1";"10.1007+s00134-022-06705-1.txt";"TRUE";"general-purpose repository";"FALSE";"TRUE";"curation scripts and curated data dictionary which include data missingness are available on github and archived [9].";"curation scripts and curated data dictionary which include data missingness are available on github and archived [9].";"no";"false positive - the reference refer sto a data dictionary, not to raw data; also, the deposit was in Github";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"no_open_data";"false positive";"NULL";"NULL";"false";"false"
96;"Evgeny";"10.1098/rsif.2022.0070";"10.1098+rsif.2022.0070.txt";"TRUE";"general-purpose repository";"FALSE";"FALSE";"<section> data accessibility. all r programming codes are freely available from edmond the open data repository of the max planck society: https://doi.org/10.17617/3.awrhe8.the data are provided in electronic supplementary material [59].";"";"yes";"NULL";"yes";"NULL";"yes";"";"yes";"NULL";"https://doi.org/10.6084/m9.figshare.c.5973577.v1";"figshare";"yes";"NULL";"2022";"no";"NULL";"NULL";"own_open_data";"NULL";"no";"the ""dataset"" turned out to be a regular PDF supplement, and didn't contain raw data either";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"no_open_data";"NULL";"NULL";"NULL";"false";"false"
85;"Evgeny";"10.1073/pnas.2114985119";"10.1073+pnas.2114985119.txt";"TRUE";"general-purpose repository, upon request";"FALSE";"TRUE";"<section> data availability. the dbs mri datasets generated and analyzed during the present study are not publicly available due to data privacy regulations of patient data but are available from the corresponding author on reasonable request (a.h.). the study consists of a reanalysis of data from a prospective trial (6) with cases dating back to 2004 at multiple centers; hence patient consent for data sharing could not be obtained. all code used to analyze the dataset is available within lead-dbs/-connectome software at github (https://github.com/ netstim/leaddbs).";"all code used to analyze the dataset is available within lead-dbs/-connectome software at github (https://github.com/ netstim/leaddbs).";"no";"datasets could not be shared due to patient protection";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"no_open_data";"NULL";"NULL";"NULL";"false";"false"
62;"Evgeny";"10.1038/s41586-022-04554-y";"10.1038+s41586-022-04554-y.txt";"TRUE";"general-purpose repository";"FALSE";"TRUE";"we acknowledge the invaluable contribution to this effort made by several openly shared mri datasets: openneuro (https://openneuro.org/) the healthy brain network (https:// healthybrainnetwork.org/) uk biobank (https://www.ukbiobank.ac.uk/) abcd (https:// abcdstudy.org/) the laboratory of neuroimaging (https://loni.usc.edu/) data made available through the open science framework (https://osf.io/) coins (http://coins.mrn.org/dx) the developing human connectome project (http://www.developingconnectome.org/) the human connectome project (http://www.humanconnectomeproject.org/) the openpain project (https://www.openpain.org) the international neuroimaging datasharing initiative (indi) (https://fcon_1000.projects.nitrc.org/) and the nimh data archive (https://nda.nih.gov/). <section> data sharing and out-of-sample estimation we have provided an interactive tool (www.brainchart.io) and made our code and models openly available (https://github.com/brainchart/lifespan).";"<section> any methods additional references nature research reporting summaries source data extended data supplementary information acknowledgements peer review information; details of author contributions and competing interests; and statements of data and code availability are available at https://doi.org/10.1038/s41586-022-04554-y.;     <section> data sharing and out-of-sample estimation we have provided an interactive tool (www.brainchart.io) and made our code and models openly available (https://github.com/brainchart/lifespan).;     <section> model parameters and out-of-sample centile scores are available at www.brainchart.io and on https://github.com/brainchart/lifespan.;     <section> all code is available at https://github.com/brainchart/lifespan.;     details of the enigma developmental brain age working group can be found at https://github.com/enigma-developmentalbrainage/main. <section> any methods additional references nature research reporting summaries source data extended data supplementary information acknowledgements peer review information; details of author contributions and competing interests; and statements of data and code availability are available at https://doi.org/10.1038/s41586-022-04554-y.";"yes";"NULL";"yes";"NULL";"yes";"NULL";"yes";"";"doi.org/10.18112/openneuro.ds002785.v2.0.0";"OpenNeuro";"yes";"NULL";"2020";"yes";"NULL";"CC0";"open_data_reuse";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"the article reuses a vast amount of datasets listed here (https://docs.google.com/spreadsheets/d/15UbnykpXnISXzgEiU9sECyuHXlqirY63V4oTwkuY-58/edit#gid=554339266), of which some are open and other restricted or even upon request; the authors did not generate raw data themselves specifically for this article; there must be overlap somewhere between authors and data generators, but with this breadth of data generators, it is still a reuse case";"NULL";"false";"false"
428;"Evgeny";"10.1038/s41598-022-05341-5";"10.1038+s41598-022-05341-5.txt";"FALSE";"re-use";"TRUE";"FALSE";"one dataset named gse21257 (n = 53) was obtained from geo (https://?www.?ncbi.?nlm.?nih.?gov/? geo/?query/?acc.?cgi??";"";"yes";"NULL";"yes";"";"yes";"NULL";"yes";"NULL";"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE21257";"Gene Expression Omnibus (GEO)";"yes";"NULL";"2012";"no";"NULL";"NULL";"open_data_reuse";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"dataset reused by the authors";"NULL";"false";"false"
431;"Evgeny";"10.1038/s41598-022-12846-6";"10.1038+s41598-022-12846-6.txt";"FALSE";"re-use";"TRUE";"FALSE";"in our previous study burrowing behavior of male c57bl/6jrj mice did not differ between the housing groups in week ­8 .";"";"no";"false positive - the reference is just to an earlier finding";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"no_open_data";"NULL";"NULL";"NULL";"false";"false"
432;"Evgeny";"10.1038/s42003-022-03190-6";"10.1038+s42003-022-03190-6.txt";"FALSE";"re-use, upon request";"TRUE";"TRUE";"after whole brain tractogram generation and ?ltering we obtained connectome matrices by mapping the streamlines based on their assignments to the node-wise endpoints de?ned in the fastsurfer based dkt parcellation 717475 .";"<section> code availability the code used in this manuscript is available at: https://github.com/cub-igl/networkanalyses-reveal-global-and-local-glioma-related-decreases-in-ipsilesional-structuralconnect.";"no";"reference in DAS is to data which are unavailable due to the privacy; the detected statement is a false positive";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"no_open_data";"false positive, see above";"NULL";"NULL";"false";"false"
433;"Evgeny";"10.1089/jicm.2022.0699";"10.1089+jicm.2022.0699.txt";"FALSE";"re-use";"TRUE";"FALSE";"39 the positive decision of the ethics commission at charite? universita?tsmedizin berlin (ea1/315/19) was obtained and the study was registered prospectively (https://www .drks.de/ drks00020557).";"";"no";"false positive - the detected statement refers to a registration, not to available data; there is a DAS, which states that data are unavailable due to privacy concerns";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"no_open_data";"false positive - see above";"NULL";"NULL";"false";"false"
434;"Evgeny";"10.1093/brain/awab405";"10.1093+brain+awab405.txt";"FALSE";"re-use";"TRUE";"FALSE";"sops quality assurance and assessment (qa) were provided and supervised by the dzne imaging network (inet magdeburg) as described in jessen et al. <section> task functional mri";"";"no";"false positive - the detected statement does not refer to data; ther eis a DAS, which states that data can be shared with prtners upon signing of an agreement";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"no_open_data";"false positive - see above";"NULL";"NULL";"false";"false"
435;"Evgeny";"10.1093/brain/awac119";"10.1093+brain+awac119.txt";"FALSE";"re-use, upon request";"TRUE";"FALSE";"in addition over 6000 annotations from the roadmap and encode epigenomics datasets that were obtained for 728 variants in the gwas genomic loci gave insights into cell type and tissue specificity.";"";"no";"false positive - detected statement refers to datasets, but not available ones; there is a DAS, which states that data are ""available upon request""";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"no_open_data";"false positive - see above";"NULL";"NULL";"false";"false"
