nct_id,year,start_date,study_first_submitted_date,days_reg_to_start,has_prospective_registration
NCT02478021,2014,2014-09-30,2015-06-11,-254,FALSE
NCT01802814,2014,2014-05-31,2013-02-18,467,TRUE
NCT03507777,2018,2018-05-17,2018-04-03,44,TRUE
NCT01593956,2012,2012-03-31,2012-05-07,-37,FALSE
NCT05528913,2023,2023-10-31,2022-09-01,425,TRUE
NCT01741584,2010,2010-12-31,2012-12-03,-703,FALSE
NCT00850629,2010,2010-01-31,2009-02-17,348,TRUE
NCT04807244,2021,2021-04-01,2021-03-11,21,TRUE
NCT02022592,2014,2014-07-17,2013-12-12,217,TRUE
NCT01157962,2010,2010-01-31,2010-06-22,-142,FALSE
NCT00758277,2007,2007-05-31,2008-09-23,-481,FALSE
NCT02395874,2015,2015-05-31,2015-03-11,81,TRUE
NCT04032587,2019,2019-10-01,2019-07-18,75,TRUE
NCT02171416,2015,2015-01-31,2014-06-13,232,TRUE
NCT01049971,2007,2007-12-31,2010-01-14,-745,FALSE
NCT06186570,2024,2024-06-13,2023-12-05,191,TRUE
NCT01600573,2012,2012-05-31,2012-05-09,22,TRUE
NCT02947542,2016,2016-04-30,2016-10-18,-171,FALSE
NCT01234662,2010,2010-11-30,2010-11-03,27,TRUE
NCT03216148,2015,2015-07-31,2017-07-10,-710,FALSE
NCT04810754,2021,2021-06-30,2021-03-11,111,TRUE
NCT02096068,2014,2014-07-31,2014-03-21,132,TRUE
NCT02669511,2015,2015-11-12,2016-01-07,-56,FALSE
NCT02204267,2014,2014-12-31,2014-07-29,155,TRUE
NCT01845129,2013,2013-04-30,2013-04-30,0,TRUE
NCT01625572,2012,2012-07-31,2012-06-19,42,TRUE
NCT01079689,2010,2010-02-28,2010-03-02,-2,FALSE
NCT02102594,2014,2014-10-31,2014-03-25,220,TRUE
NCT01179789,2009,2009-10-31,2010-08-05,-278,FALSE
NCT02204293,2012,2012-06-21,2014-07-29,-768,FALSE
NCT00521560,2006,2006-03-31,2007-08-27,-514,FALSE
NCT02092974,2014,2014-04-30,2014-03-19,42,TRUE
NCT00884338,2009,2009-05-31,2009-04-17,44,TRUE
NCT01914965,2012,2012-06-30,2013-07-31,-396,FALSE
NCT05821166,2023,2023-02-01,2023-02-07,-6,TRUE
NCT01770080,2013,2013-02-28,2013-01-09,50,TRUE
NCT02509897,2015,2015-07-31,2015-07-24,7,TRUE
NCT01865604,2012,2012-04-30,2012-12-18,-232,FALSE
NCT01540383,2012,2012-04-30,2012-02-06,84,TRUE
NCT02662803,2015,2015-01-31,2016-01-11,-345,FALSE
NCT01782365,2013,2013-08-08,2013-01-31,189,TRUE
NCT01050686,2010,2010-03-31,2010-01-14,76,TRUE
NCT00750971,2008,2008-08-31,2008-09-10,-10,FALSE
NCT01468220,2012,2012-01-31,2011-09-15,138,TRUE
NCT04114188,2016,2016-12-15,2018-10-15,-669,FALSE
NCT02372435,2015,2015-05-31,2015-01-23,128,TRUE
NCT01969097,2012,2012-05-31,2013-10-07,-494,FALSE
NCT06033170,2023,2023-09-30,2023-07-25,67,TRUE
NCT01541579,2012,2012-07-31,2012-02-21,161,TRUE
NCT04039074,2019,2019-07-29,2019-07-28,1,TRUE
NCT00758017,2009,2009-01-31,2008-09-22,131,TRUE
NCT00398671,2006,2006-01-31,2006-11-13,-286,FALSE
NCT00408187,2006,2006-12-31,2006-12-04,27,TRUE
NCT05635500,2021,2021-08-01,2021-07-22,10,TRUE
NCT03001960,2017,2017-03-31,2016-12-18,103,TRUE
NCT02470026,2014,2014-06-30,2015-05-31,-335,FALSE
NCT00623415,2007,2007-12-31,2008-02-15,-46,FALSE
NCT04146857,2019,2019-10-30,2019-10-25,5,TRUE
NCT04384198,2020,2020-08-13,2020-04-30,105,TRUE
NCT04750759,2021,2021-02-03,2021-02-08,-5,TRUE
NCT05063058,2016,2016-01-31,2021-08-26,-2034,FALSE
NCT04301271,2020,2020-08-13,2020-03-06,160,TRUE
NCT01530802,2007,2007-01-31,2010-11-01,-1370,FALSE
NCT00457288,2007,2007-04-30,2007-04-04,26,TRUE
NCT03062150,2016,2016-09-27,2017-02-15,-141,FALSE
NCT01727362,2012,2012-10-31,2012-11-07,-7,FALSE
NCT04499417,2020,2020-07-19,2020-07-26,-7,TRUE
NCT06603363,2024,2024-10-31,2024-09-03,58,TRUE
NCT01928810,2011,2011-03-31,2013-07-26,-848,FALSE
NCT00905944,2009,2009-12-31,2009-05-19,226,TRUE
NCT01117597,2010,2010-04-30,2010-05-04,-4,FALSE
NCT05399316,2022,2022-06-15,2022-05-05,41,TRUE
NCT04032600,2017,2017-08-01,2018-02-11,-194,FALSE
NCT01586702,2011,2011-09-30,2012-04-23,-206,FALSE
NCT02358265,2014,2014-12-31,2014-12-18,13,TRUE
NCT01622166,2011,2011-08-31,2012-06-12,-286,FALSE
NCT03157076,2017,2017-04-19,2017-05-16,-27,FALSE
NCT02869386,2017,2017-02-01,2016-08-08,177,TRUE
NCT05588401,2024,2024-07-01,2022-10-14,626,TRUE
NCT01888029,2013,2013-05-31,2013-06-25,-25,FALSE
NCT06596824,2024,2024-10-01,2024-09-09,22,TRUE
NCT03755960,2019,2019-03-02,2018-11-19,103,TRUE
NCT01065246,2009,2009-11-30,2010-01-13,-44,FALSE
NCT01471782,2012,2012-01-31,2011-10-28,95,TRUE
NCT02090686,2014,2014-03-31,2014-03-17,14,TRUE
NCT03646097,2018,2018-08-21,2018-08-05,16,TRUE
NCT00670254,2009,2009-01-31,2008-04-29,277,TRUE
NCT05357300,2022,2022-04-26,2022-04-26,0,TRUE
NCT02794298,2016,2016-04-30,2016-04-05,25,TRUE
NCT01601769,2011,2011-04-30,2012-05-14,-380,FALSE
NCT02541344,2014,2014-06-30,2015-08-24,-420,FALSE
NCT04780646,2022,2022-06-29,2021-02-22,492,TRUE
NCT03590171,2017,2017-09-01,2018-05-23,-264,FALSE
NCT05046015,2016,2016-09-30,2020-07-29,-1398,FALSE
NCT05697640,2023,2023-06-22,2023-01-23,150,TRUE
NCT01219231,2010,2010-08-31,2010-10-12,-42,FALSE
NCT01278537,2011,2011-02-28,2011-01-18,41,TRUE
NCT02755246,2016,2016-04-30,2016-04-05,25,TRUE
NCT01716832,2011,2011-03-31,2012-10-24,-573,FALSE
NCT02861534,2016,2016-09-20,2016-08-05,46,TRUE
NCT00883714,2009,2009-05-31,2009-04-17,44,TRUE
NCT04695964,2019,2019-02-01,2020-12-22,-690,FALSE
NCT05146570,2021,2021-06-01,2021-09-23,-114,FALSE
NCT02795702,2017,2017-04-01,2016-04-05,361,TRUE
NCT03046381,2017,2017-07-19,2017-01-05,195,TRUE
NCT04583397,2020,2020-02-01,2020-09-24,-236,FALSE
NCT02507492,2015,2015-01-31,2015-05-29,-118,FALSE
NCT00685711,2008,2008-01-31,2008-05-20,-110,FALSE
NCT02433470,2015,2015-04-30,2015-04-25,5,TRUE
NCT02758782,2016,2016-09-30,2016-04-20,163,TRUE
NCT05107167,2021,2021-12-14,2021-10-26,49,TRUE
NCT01200784,2010,2010-08-31,2010-09-10,-10,FALSE
NCT01349400,2011,2011-11-30,2011-05-05,209,TRUE
NCT05556811,2022,2022-09-01,2022-08-18,14,TRUE
NCT02566369,2015,2015-11-30,2015-10-01,60,TRUE
NCT00432653,2007,2007-03-31,2007-02-06,53,TRUE
NCT02453867,2017,2017-12-31,2015-04-03,1003,TRUE
NCT02227641,2014,2014-10-31,2014-08-26,66,TRUE
NCT02519582,2015,2015-08-31,2015-07-30,32,TRUE
NCT05654805,2022,2022-12-15,2022-12-08,7,TRUE
NCT04062695,2020,2020-08-04,2019-05-14,448,TRUE
NCT04278885,2020,2020-10-05,2020-02-13,235,TRUE
NCT02020044,2012,2012-09-30,2013-12-11,-437,FALSE
NCT01303588,2011,2011-05-31,2011-02-24,96,TRUE
NCT04739852,2021,2021-02-01,2021-01-05,27,TRUE
NCT01456702,2014,2014-10-31,2011-09-29,1128,TRUE
NCT03489733,2018,2018-07-09,2018-03-26,105,TRUE
NCT04141137,2019,2019-12-09,2019-10-24,46,TRUE
NCT02364219,2015,2015-02-28,2015-01-20,39,TRUE
NCT04793828,2020,2020-07-04,2021-02-22,-233,FALSE
NCT00715806,2008,2008-06-30,2008-07-10,-10,FALSE
NCT01061931,2009,2009-03-31,2010-02-02,-308,FALSE
NCT06200636,2024,2024-03-01,2024-01-09,52,TRUE
NCT03031405,2017,2017-01-15,2017-01-18,-3,TRUE
NCT00865982,2008,2008-09-30,2009-03-19,-170,FALSE
NCT01782391,2013,2013-04-30,2012-06-05,329,TRUE
NCT06007144,2023,2023-08-18,2023-07-26,23,TRUE
NCT05455749,2021,2021-10-04,2022-07-08,-277,FALSE
NCT01966783,2013,2013-09-30,2013-10-09,-9,FALSE
NCT02290028,2014,2014-12-16,2014-11-10,36,TRUE
NCT03875391,2019,2019-03-06,2019-03-11,-5,TRUE
NCT03020368,2017,2017-01-31,2017-01-11,20,TRUE
NCT01061229,2010,2010-03-31,2010-02-02,57,TRUE
NCT02509962,2015,2015-07-31,2015-07-24,7,TRUE
NCT02963298,2016,2016-10-31,2016-10-11,20,TRUE
NCT02799706,2017,2017-09-25,2016-05-17,496,TRUE
NCT04564391,2020,2020-09-21,2020-07-21,62,TRUE
NCT04089618,2019,2019-09-02,2019-09-07,-5,TRUE
NCT01105143,2012,2012-03-31,2010-04-14,717,TRUE
NCT03467412,2018,2018-02-27,2018-03-05,-6,FALSE
NCT02345278,2015,2015-05-31,2015-01-19,132,TRUE
NCT02930590,2016,2016-09-30,2016-09-26,4,TRUE
NCT05347199,2022,2022-05-17,2022-04-12,35,TRUE
NCT01701713,2009,2009-06-30,2012-09-26,-1184,FALSE
NCT03024567,2017,2017-01-31,2017-01-13,18,TRUE
NCT00568542,2006,2006-05-31,2007-12-05,-553,FALSE
NCT00919958,2009,2009-06-30,2009-06-10,20,TRUE
NCT01829347,2014,2014-04-30,2013-04-08,387,TRUE
NCT02110043,2014,2014-03-31,2014-02-13,46,TRUE
NCT00146471,2006,2006-01-31,2005-09-06,147,TRUE
NCT04193644,2019,2019-08-08,2019-11-30,-114,FALSE
NCT02110056,2014,2014-03-31,2014-02-13,46,TRUE
NCT00673530,2006,2006-07-31,2008-05-01,-640,FALSE
NCT02720952,2015,2015-03-31,2016-03-16,-351,FALSE
NCT04252976,2019,2019-03-28,2020-01-30,-308,FALSE
NCT04436328,2020,2020-07-01,2020-06-02,29,TRUE
NCT00271713,2006,2006-03-31,2006-01-03,87,TRUE
NCT01221779,2011,2011-01-31,2010-10-13,110,TRUE
NCT02741973,2016,2016-03-31,2016-03-23,8,TRUE
NCT01330901,2011,2011-10-31,2011-04-05,209,TRUE
NCT06190366,2023,2023-12-19,2023-12-19,0,TRUE
NCT00472238,2007,2007-08-31,2007-05-10,113,TRUE
NCT02296372,2014,2014-11-30,2014-11-04,26,TRUE
NCT00546975,2007,2007-10-31,2007-10-18,13,TRUE
NCT01878630,2013,2013-08-08,2013-06-12,57,TRUE
NCT02633449,2016,2016-02-29,2015-12-15,76,TRUE
NCT05071131,2022,2022-02-01,2021-09-16,138,TRUE
NCT01148173,2007,2007-10-31,2010-06-21,-964,FALSE
NCT00841256,2008,2008-02-29,2008-04-22,-53,FALSE
NCT02543749,2014,2014-07-31,2015-08-25,-390,FALSE
NCT01832740,2013,2013-01-31,2013-03-08,-36,FALSE
NCT02747784,2017,2017-07-25,2016-03-30,482,TRUE
NCT04000321,2019,2019-06-13,2019-06-13,0,TRUE
NCT02096913,2013,2013-06-30,2014-03-24,-267,FALSE
NCT03825900,2018,2018-06-01,2018-06-25,-24,TRUE
NCT05508256,2023,2023-03-31,2022-08-10,233,TRUE
NCT00243607,2006,2006-05-31,2005-10-21,222,TRUE
NCT02576613,2015,2015-10-31,2015-10-08,23,TRUE
NCT05909267,2023,2023-07-26,2023-05-31,56,TRUE
NCT00570271,2007,2007-04-30,2007-12-05,-219,FALSE
NCT02113800,2015,2015-08-31,2014-04-08,510,TRUE
NCT02398877,2013,2013-02-28,2015-03-09,-739,FALSE
NCT05887180,2022,2022-01-01,2023-04-05,-459,FALSE
NCT02665689,2016,2016-01-18,2016-01-21,-3,TRUE
NCT01374789,2010,2010-07-31,2011-03-30,-242,FALSE
NCT00626548,2008,2008-01-31,2008-01-24,7,TRUE
NCT02658370,2011,2011-08-31,2016-01-13,-1596,FALSE
NCT01566825,2008,2008-08-31,2012-03-27,-1304,FALSE
NCT03162289,2017,2017-05-10,2017-05-10,0,TRUE
NCT02456948,2015,2015-01-31,2015-05-27,-116,FALSE
NCT03104166,2018,2018-01-22,2017-04-03,294,TRUE
NCT01117519,2010,2010-05-31,2010-05-03,28,TRUE
NCT01218165,2010,2010-05-31,2010-10-08,-130,FALSE
NCT00869011,2009,2009-12-31,2009-03-23,283,TRUE
NCT02631161,2015,2015-12-31,2015-12-07,24,TRUE
NCT03723239,2018,2018-09-12,2018-10-25,-43,FALSE
NCT01586091,2011,2011-02-28,2012-04-23,-420,FALSE
NCT01924702,2011,2011-01-31,2013-08-14,-926,FALSE
NCT00912561,2009,2009-06-30,2009-06-02,28,TRUE
NCT04211493,2019,2019-11-22,2019-12-19,-27,FALSE
NCT01532453,2010,2010-11-30,2012-02-09,-436,FALSE
NCT05951140,2020,2020-10-01,2023-05-04,-945,FALSE
NCT01727375,2013,2013-07-31,2012-07-04,392,TRUE
NCT01143233,2010,2010-04-30,2010-06-11,-42,FALSE
NCT02478957,2015,2015-06-30,2015-06-19,11,TRUE
NCT00407667,2006,2006-12-31,2006-12-01,30,TRUE
NCT00996229,2009,2009-11-30,2009-10-14,47,TRUE
NCT01319370,2010,2010-11-30,2011-03-18,-108,FALSE
NCT01181401,2010,2010-08-31,2010-08-12,19,TRUE
NCT02169115,2012,2012-12-31,2014-06-12,-528,FALSE
NCT04942457,2022,2022-01-10,2021-05-10,245,TRUE
NCT03901183,2019,2019-05-27,2019-03-28,60,TRUE
NCT03291002,2017,2017-09-25,2017-09-15,10,TRUE
NCT01753050,2012,2012-12-31,2012-12-17,14,TRUE
NCT06007170,2023,2023-07-27,2023-07-31,-4,TRUE
NCT02936388,2016,2016-01-31,2016-09-09,-222,FALSE
NCT01840839,2013,2013-10-31,2013-04-18,196,TRUE
NCT03671447,2018,2018-09-04,2018-08-22,13,TRUE
NCT03260010,2018,2018-01-15,2017-08-15,153,TRUE
NCT01582724,2012,2012-12-31,2012-04-18,257,TRUE
NCT01178255,2010,2010-08-31,2010-08-09,22,TRUE
NCT00929812,2006,2006-06-30,2009-06-29,-1095,FALSE
NCT00633620,2007,2007-03-31,2008-03-05,-340,FALSE
NCT01440062,2011,2011-12-31,2011-09-19,103,TRUE
NCT02470013,2014,2014-11-30,2015-01-14,-45,FALSE
NCT01954836,2013,2013-10-31,2013-09-29,32,TRUE
NCT03281616,2014,2014-06-01,2017-09-11,-1198,FALSE
NCT04251936,2020,2020-02-01,2020-01-16,16,TRUE
NCT01187797,2010,2010-08-31,2010-08-09,22,TRUE
NCT01347567,2011,2011-04-30,2011-05-03,-3,FALSE
NCT03512925,2017,2017-11-01,2018-01-30,-90,FALSE
NCT02052960,2014,2014-02-28,2014-01-27,32,TRUE
NCT01109966,2010,2010-06-30,2010-03-29,93,TRUE
NCT00558506,2008,2008-01-31,2007-11-14,78,TRUE
NCT00610584,2008,2008-04-30,2008-01-28,93,TRUE
NCT04946110,2021,2021-07-13,2021-03-17,118,TRUE
NCT05295160,2020,2020-09-25,2020-09-25,0,TRUE
NCT06055920,2023,2023-11-17,2023-09-15,63,TRUE
NCT01006577,2010,2010-06-30,2009-10-19,254,TRUE
NCT01788800,2009,2009-01-31,2013-02-04,-1465,FALSE
NCT02633072,2014,2014-09-30,2015-12-14,-440,FALSE
NCT04460378,2018,2018-01-01,2018-03-22,-80,FALSE
NCT01219244,2010,2010-08-31,2010-10-12,-42,FALSE
NCT04418271,2020,2020-06-30,2020-05-19,42,TRUE
NCT00852020,2009,2009-04-30,2009-02-13,76,TRUE
NCT04543682,2022,2022-05-12,2020-09-02,617,TRUE
NCT03525093,2018,2018-05-03,2018-04-23,10,TRUE
NCT00568672,2007,2007-10-31,2007-12-05,-35,FALSE
NCT02808793,2016,2016-06-30,2016-06-16,14,TRUE
NCT06308484,2024,2024-03-20,2024-02-26,23,TRUE
NCT02523664,2014,2014-01-31,2015-08-07,-553,FALSE
NCT01703273,2012,2012-07-31,2012-08-07,-7,FALSE
NCT00986258,2009,2009-10-30,2009-09-28,32,TRUE
NCT03931616,2019,2019-05-09,2019-04-26,13,TRUE
NCT05327543,2022,2022-05-09,2022-04-07,32,TRUE
NCT00629174,2006,2006-06-30,2008-02-25,-605,FALSE
NCT00914680,2009,2009-06-30,2009-06-03,27,TRUE
NCT01933191,2011,2011-08-31,2013-07-26,-695,FALSE
NCT06627023,2020,2020-06-30,2024-09-28,-1551,FALSE
NCT04227522,2020,2020-06-08,2019-12-20,171,TRUE
NCT04159285,2019,2019-01-05,2019-08-01,-208,FALSE
NCT01503957,2012,2012-01-31,2011-12-27,35,TRUE
NCT03624231,2018,2018-08-15,2017-12-05,253,TRUE
NCT01647880,2013,2013-07-31,2012-07-23,373,TRUE
NCT03114306,2017,2017-04-05,2017-03-27,9,TRUE
NCT03081897,2016,2016-07-31,2016-07-28,3,TRUE
NCT01582893,2012,2012-04-30,2012-04-11,19,TRUE
NCT03966118,2019,2019-04-01,2019-02-12,48,TRUE
NCT01887899,2013,2013-05-31,2013-06-25,-25,FALSE
NCT01045772,2009,2009-01-31,2010-01-07,-341,FALSE
NCT04729582,2024,2024-06-30,2021-01-21,1256,TRUE
NCT01266655,2011,2011-02-28,2010-12-23,67,TRUE
NCT00563836,2007,2007-11-30,2007-11-23,7,TRUE
NCT02552654,2015,2015-09-30,2015-09-16,14,TRUE
NCT00772655,2007,2007-10-31,2008-10-14,-349,FALSE
NCT03164980,2018,2018-02-01,2017-05-18,259,TRUE
NCT04411251,2020,2020-07-14,2020-05-25,50,TRUE
NCT05740449,2023,2023-10-01,2023-02-13,230,TRUE
NCT01444196,2009,2009-08-31,2011-09-29,-759,FALSE
NCT05211011,2018,2018-01-23,2017-08-01,175,TRUE
NCT01580592,2012,2012-04-30,2012-04-18,12,TRUE
NCT02971787,2016,2016-11-30,2016-11-18,12,TRUE
NCT02795715,2016,2016-04-30,2016-04-05,25,TRUE
NCT03348852,2017,2017-01-24,2017-05-22,-118,FALSE
NCT06764901,2023,2023-10-24,2024-11-14,-387,FALSE
NCT04055233,2015,2015-02-01,2018-04-25,-1179,FALSE
NCT02569619,2014,2014-04-30,2015-10-02,-520,FALSE
NCT02295735,2015,2015-06-30,2014-11-10,232,TRUE
NCT05751044,2024,2024-10-01,2023-02-20,589,TRUE
NCT05360953,2022,2022-06-17,2022-04-29,49,TRUE
NCT05036005,2021,2021-07-11,2021-08-30,-50,FALSE
NCT03485716,2016,2016-08-01,2018-03-19,-595,FALSE
NCT04448808,2020,2020-10-01,2020-06-16,107,TRUE
NCT04897438,2021,2021-06-01,2021-05-18,14,TRUE
NCT02396459,2020,2020-12-07,2015-03-07,2102,TRUE
NCT01259830,2011,2011-03-31,2010-12-13,108,TRUE
NCT05226351,2022,2022-03-01,2021-04-29,306,TRUE
NCT05310253,2022,2022-02-01,2022-03-14,-41,FALSE
NCT01701843,2012,2012-10-31,2012-07-11,112,TRUE
NCT00633698,2008,2008-01-31,2008-03-05,-34,FALSE
NCT06170801,2024,2024-07-03,2023-12-04,212,TRUE
NCT01481909,2010,2010-09-30,2011-11-23,-419,FALSE
NCT06140875,2023,2023-11-15,2023-11-15,0,TRUE
NCT06445153,2024,2024-06-03,2024-05-23,11,TRUE
NCT01984788,2013,2013-11-30,2013-11-05,25,TRUE
NCT01771211,2012,2012-12-31,2013-01-14,-14,FALSE
NCT01845142,2013,2013-02-28,2013-04-24,-55,FALSE
NCT03463317,2018,2018-02-28,2018-02-16,12,TRUE
NCT05681949,2023,2023-11-30,2022-12-13,352,TRUE
NCT01049100,2009,2009-04-30,2010-01-13,-258,FALSE
NCT04229069,2013,2013-01-03,2020-01-07,-2560,FALSE
NCT02839993,2016,2016-04-01,2016-04-05,-4,TRUE
NCT06056518,2024,2024-01-19,2023-09-21,120,TRUE
NCT02685696,2013,2013-10-31,2016-02-08,-830,FALSE
NCT04970355,2021,2021-12-02,2021-07-11,144,TRUE
NCT00567736,2007,2007-08-31,2007-12-04,-95,FALSE
NCT06005350,2023,2023-11-01,2023-08-09,84,TRUE
NCT00787683,2008,2008-10-31,2008-11-06,-6,FALSE
NCT06004362,2023,2023-09-04,2023-08-17,18,TRUE
NCT06198374,2024,2024-01-08,2023-12-27,12,TRUE
NCT05710770,2023,2023-10-01,2023-01-31,243,TRUE
NCT02664805,2016,2016-02-29,2016-01-22,38,TRUE
NCT06475495,2024,2024-11-30,2024-06-13,170,TRUE
NCT01963793,2013,2013-10-31,2013-09-18,43,TRUE
NCT01263977,2010,2010-12-31,2010-12-20,11,TRUE
NCT02314572,2013,2013-03-31,2014-12-08,-617,FALSE
NCT00871091,2007,2007-01-31,2009-03-27,-786,FALSE
NCT06413069,2024,2024-05-23,2024-01-29,115,TRUE
NCT00844220,2009,2009-02-18,2009-02-13,5,TRUE
NCT00715091,2008,2008-09-30,2008-07-14,78,TRUE
NCT01047891,2010,2010-01-31,2010-01-12,19,TRUE
NCT00970567,2007,2007-11-30,2009-08-05,-614,FALSE
NCT04598360,2020,2020-11-01,2020-10-16,16,TRUE
NCT01081574,2010,2010-01-31,2010-03-04,-32,FALSE
NCT01013259,2009,2009-02-28,2009-11-10,-255,FALSE
NCT01865578,2012,2012-04-30,2013-05-21,-386,FALSE
NCT05338372,2022,2022-05-02,2022-04-11,21,TRUE
NCT01731249,2010,2010-11-30,2012-11-15,-716,FALSE
NCT03815240,2019,2019-02-08,2019-01-16,23,TRUE
NCT04847011,2021,2021-04-21,2021-04-14,7,TRUE
NCT02794259,2016,2016-04-30,2016-04-05,25,TRUE
NCT00579657,2007,2007-08-31,2007-12-21,-112,FALSE
NCT01170949,2008,2008-09-30,2010-01-12,-469,FALSE
NCT00437307,2007,2007-03-31,2007-02-19,40,TRUE
NCT01791790,2013,2013-01-31,2013-02-13,-13,FALSE
NCT03432611,2018,2018-02-19,2018-01-18,32,TRUE
NCT01458457,2011,2011-05-31,2011-10-21,-143,FALSE
NCT06638216,2024,2024-10-07,2024-10-06,1,TRUE
NCT05562128,2022,2022-10-10,2022-09-28,12,TRUE
NCT05962606,2024,2024-02-02,2023-07-17,200,TRUE
NCT00674700,2007,2007-10-31,2008-05-06,-188,FALSE
NCT03773081,2018,2018-08-21,2018-12-09,-110,FALSE
NCT02019498,2014,2014-04-30,2013-12-18,133,TRUE
NCT05289154,2022,2022-06-14,2022-03-18,88,TRUE
NCT02213367,2014,2014-07-31,2014-08-08,-8,FALSE
NCT04841434,2021,2021-06-01,2021-04-08,54,TRUE
NCT00958750,2008,2008-06-30,2009-08-12,-408,FALSE
NCT01525667,2012,2012-11-30,2012-01-31,304,TRUE
NCT01176110,2010,2010-07-31,2010-07-29,2,TRUE
NCT06225544,2024,2024-04-14,2024-01-17,88,TRUE
NCT05986422,2023,2023-10-01,2023-08-09,53,TRUE
NCT04119843,2020,2020-02-19,2019-09-29,143,TRUE
NCT05247151,2021,2021-08-02,2021-11-08,-98,FALSE
NCT05824117,2022,2022-10-18,2023-03-15,-148,FALSE
NCT01264549,2010,2010-12-31,2010-12-21,10,TRUE
NCT03074591,2017,2017-08-01,2017-03-01,153,TRUE
NCT02726048,2016,2016-04-30,2016-03-29,32,TRUE
