article,best_identifier,repository,repository_re3data,repository_type,license_fuji,license_numbat,guid_scheme_fuji,fuji_percent,fuji_percent_f,fuji_percent_a,fuji_percent_i,fuji_percent_r,fuji_percent_f1,fuji_percent_f2,fuji_percent_f3,fuji_percent_f4,fuji_percent_a1,fuji_percent_i1,fuji_percent_i2,fuji_percent_i3,fuji_percent_r1,fuji_percent_r1_1,fuji_percent_r1_2,fuji_percent_r1_3,FsF-F1-01D,FsF-F1-02D,FsF-F2-01M,FsF-F3-01M,FsF-F4-01M,FsF-A1-01M,FsF-A1-02M,FsF-A1-03D,FsF-I1-01M,FsF-I2-01M,FsF-I3-01M,FsF-R1-01MD,FsF-R1.1-01M,FsF-R1.2-01M,FsF-R1.3-01M,FsF-R1.3-02D
10.1038/s41467-022-30438-w,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE180861,NCBI Gene Expression Omnibus (GEO),NCBI Gene Expression Omnibus (GEO),field-specific repository,no license,NULL,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.1038/s41467-022-30438-w,https://www.ncbi.nlm.nih.gov/assembly/GCF_000001635.27,NCBI Genome,NCBI Genome,field-specific repository,no license,NULL,url,4.17,14.29,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1038/s41467-022-31492-0,https://www.ebi.ac.uk/pride/archive/projects/PXD029836,PRoteomics IDEntifications Database,PRoteomics IDEntifications Database,field-specific repository,no license,CC0,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.1038/s41467-022-31492-0,https://www.uniprot.org/proteomes/UP000005640,uniprot,uniprot,field-specific repository,no license,NULL,url,4.17,14.29,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1186/s13059-022-02631-z,doi.org/10.5281/zenodo.5947062,Zenodo,Zenodo,general-purpose repository,no license,MIT,doi,58.33,71.43,66.67,75,40,100,50,0,100,66.67,100,0,100,25,50,50,50,100,100,50,0,100,100,100,0,100,0,100,25,50,50,100,0
10.1371/journal.pcbi.1009933,https://doi.org/10.5281/zenodo.6320089,Zenodo,Zenodo,general-purpose repository,no license,CC BY,doi,62.5,71.43,66.67,75,50,100,50,0,100,66.67,100,0,100,25,100,50,50,100,100,50,0,100,100,100,0,100,0,100,25,100,50,100,0
10.1371/journal.pbio.3001783,https://doi.org/10.17605/OSF.IO/2C4WQ,Open Science Framework (OSF),Open Science Framework (OSF),general-purpose repository,CC BY,CC BY,doi,56.25,85.71,50,50,40,100,100,0,100,50,100,0,0,25,50,50,50,100,100,100,0,100,50,100,0,100,0,0,25,50,50,100,0
10.1186/s40478-022-01470-0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE212682,NCBI Gene Expression Omnibus (GEO),NCBI Gene Expression Omnibus (GEO),field-specific repository,no license,NULL,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.1186/s13073-022-01108-9,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE210622,NCBI Gene Expression Omnibus (GEO),NCBI Gene Expression Omnibus (GEO),field-specific repository,no license,NULL,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.1186/s13073-022-01018-w,https://ega-archive.org/studies/EGAS00001005731,European genome-phenome archive,European genome-phenome archive,field-specific repository,no license,NULL,url,10.42,21.43,33.33,0,0,50,25,0,0,33.33,0,0,0,0,0,0,0,100,0,25,0,0,0,100,0,0,0,0,0,0,0,0,0
10.1186/s13071-022-05615-x,https://www.ncbi.nlm.nih.gov/nuccore/OP450944,NCBI Nucleotide (Nuccore),NCBI Nucleotide (Nuccore),field-specific repository,no license,NULL,url,4.17,14.29,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1186/s12943-022-01583-z,https://www.ncbi.nlm.nih.gov/sra/SRX12290801,NCBI Sequence Read Archive (SRA),NCBI Sequence Read Archive (SRA),field-specific repository,no license,NULL,url,4.17,14.29,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1186/s12943-022-01583-z,https://ega-archive.org/datasets/EGAD00001008343,European genome-phenome archive,European genome-phenome archive,field-specific repository,no license,NULL,url,31.25,35.71,33.33,25,30,50,25,0,50,33.33,50,0,0,25,50,0,50,100,0,25,0,50,0,100,0,50,0,0,25,50,0,100,0
10.1186/s12014-022-09386-6,https://www.ebi.ac.uk/pride/archive/projects/PXD030009,PRoteomics IDEntifications Database,PRoteomics IDEntifications Database,field-specific repository,no license,CC0,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.1183/13993003.02725-2021,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198864,NCBI Gene Expression Omnibus (GEO),NCBI Gene Expression Omnibus (GEO),field-specific repository,no license,NULL,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.1177/15533506211054240,https://doi.org/10.18452/20470,edoc-Server,edoc-Server,field-specific repository,other license,CC BY-NC,doi,56.25,85.71,50,25,50,100,100,0,100,50,50,0,0,25,100,50,50,100,100,100,0,100,50,100,0,50,0,0,25,100,50,100,0
10.1172/jci.insight.151353,https://www.ebi.ac.uk/ena/browser/view/PRJEB43040,EMBL-EBI European Nucleotide Archive,EMBL-EBI European Nucleotide Archive,field-specific repository,no license,NULL,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.1159/000521626,https://doi.org/10.5281/zenodo.4807754,Zenodo,Zenodo,general-purpose repository,no license,CC BY,doi,62.5,71.43,66.67,75,50,100,50,0,100,66.67,100,0,100,25,100,50,50,100,100,50,0,100,100,100,0,100,0,100,25,100,50,100,0
10.1126/sciadv.abo7639,https://www.ebi.ac.uk/pride/archive/projects/PXD031376,PRoteomics IDEntifications Database,PRoteomics IDEntifications Database,field-specific repository,no license,CC0,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.1126/sciadv.abo7639,https://www.ncbi.nlm.nih.gov/sra/SRX15808905[accn],NCBI Sequence Read Archive (SRA),NCBI Sequence Read Archive (SRA),field-specific repository,no license,NULL,url,4.17,14.29,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1111/mec.16491,https://www.ncbi.nlm.nih.gov/bioproject/?term=825462,NCBI BioProject,NCBI BioProject,field-specific repository,no license,NULL,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.3390/biomedicines10051204,https://www.ncbi.nlm.nih.gov/bioproject/826262,NCBI BioProject,NCBI BioProject,field-specific repository,no license,NULL,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.3390/v14112368,https://www.ncbi.nlm.nih.gov/nuccore/OP313834,NCBI Nucleotide (Nuccore),NCBI Nucleotide (Nuccore),field-specific repository,no license,NULL,url,4.17,14.29,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.3390/v14051041,https://www.ncbi.nlm.nih.gov/nuccore/on158817,NCBI Nucleotide (Nuccore),NCBI Nucleotide (Nuccore),field-specific repository,no license,NULL,url,4.17,14.29,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.3390/cells11243970,https://www.ebi.ac.uk/ena/browser/view/PRJEB55408,EMBL-EBI European Nucleotide Archive,EMBL-EBI European Nucleotide Archive,field-specific repository,no license,NULL,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.3390/cells11060946,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE194303,NCBI Gene Expression Omnibus (GEO),NCBI Gene Expression Omnibus (GEO),field-specific repository,no license,NULL,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.3390/cancers14174118,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE206802,NCBI Gene Expression Omnibus (GEO),NCBI Gene Expression Omnibus (GEO),field-specific repository,no license,NULL,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.3390/biomedicines10030536,https://doi.org/10.5281/zenodo.5925746,Zenodo,Zenodo,general-purpose repository,no license,CC BY,doi,70.83,100,66.67,75,50,100,100,100,100,66.67,100,0,100,25,100,50,50,100,100,100,100,100,100,100,0,100,0,100,25,100,50,100,0
10.3389/fmicb.2022.885822,https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA785129,NCBI BioProject,NCBI BioProject,field-specific repository,no license,NULL,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.3389/fimmu.2022.842870,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198203,NCBI Gene Expression Omnibus (GEO),NCBI Gene Expression Omnibus (GEO),field-specific repository,no license,NULL,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.3389/fcvm.2022.915074,https://doi.org/10.6084/m9.figshare.19535047.v1,figshare,figshare,general-purpose repository,no license,CC BY,doi,75,100,66.67,75,60,100,100,100,100,66.67,100,0,100,25,100,50,100,100,100,100,100,100,0,100,100,100,0,100,25,100,50,100,100
10.3389/fcvm.2022.901902,https://doi.org/10.6084/m9.figshare.19328687.v1,figshare,figshare,general-purpose repository,no license,CC BY,doi,75,100,66.67,75,60,100,100,100,100,66.67,100,0,100,25,100,50,100,100,100,100,100,100,0,100,100,100,0,100,25,100,50,100,100
10.3389/fcvm.2022.828556,https://doi.org/10.6084/m9.figshare.16964929.v1,figshare,figshare,general-purpose repository,no license,CC BY,doi,75,100,66.67,75,60,100,100,100,100,66.67,100,0,100,25,100,50,100,100,100,100,100,100,0,100,100,100,0,100,25,100,50,100,100
10.26508/lsa.202201826,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE208181,NCBI Gene Expression Omnibus (GEO),NCBI Gene Expression Omnibus (GEO),field-specific repository,no license,NULL,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.1038/s41467-022-34815-3,https://0-www-ncbi-nlm-nih-gov.brum.beds.ac.uk/geo/query/acc.cgi?acc=GSE196228,NCBI Gene Expression Omnibus (GEO),NCBI Gene Expression Omnibus (GEO),field-specific repository,no license,NULL,url,4.17,14.29,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1038/s41467-022-34815-3,https://doi.org/10.6084/m9.figshare.17144639.v1,figshare,figshare,general-purpose repository,other license,GNU GPLv3,doi,56.25,85.71,50,50,40,100,100,0,100,50,50,0,100,25,50,50,50,100,100,100,0,100,50,100,0,50,0,100,25,50,50,100,0
10.26508/lsa.202101187,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE177047,NCBI Gene Expression Omnibus (GEO),NCBI Gene Expression Omnibus (GEO),field-specific repository,no license,NULL,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.1038/s41467-022-30322-7,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE148258,NCBI Gene Expression Omnibus (GEO),NCBI Gene Expression Omnibus (GEO),field-specific repository,no license,NULL,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.1038/s41467-022-30322-7,https://www.ebi.ac.uk/pride/archive/projects/PXD018313,PRoteomics IDEntifications Database,PRoteomics IDEntifications Database,field-specific repository,no license,CC0,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.1024/0939-5911/a000780,https://doi.org/10.17605/OSF.IO/HJUFN,Open Science Framework (OSF),Open Science Framework (OSF),general-purpose repository,other license,CC BY-NC-SA,doi,52.08,71.43,50,50,40,100,50,0,100,50,100,0,0,25,50,50,50,100,100,50,0,100,50,100,0,100,0,0,25,50,50,100,0
10.1038/s41564-022-01072-5,https://www.ebi.ac.uk/pride/archive/projects/PXD031160,PRoteomics IDEntifications Database,PRoteomics IDEntifications Database,field-specific repository,no license,CC0,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.1038/s41467-022-32023-7,https://repository.jpostdb.org/entry/JPST001683,PRoteomics IDEntifications Database,PRoteomics IDEntifications Database,field-specific repository,no license,NULL,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.1038/s41467-022-32023-7,https://www.ncbi.nlm.nih.gov/sra/SRX16083838[accn],PRoteomics IDEntifications Database,PRoteomics IDEntifications Database,field-specific repository,no license,NULL,url,4.17,14.29,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1038/s41586-022-05547-7,https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-11063,EMBL-EBI BioStudies,EMBL-EBI BioStudies,field-specific repository,no license,NULL,url,22.92,35.71,33.33,0,20,50,25,0,50,33.33,0,0,0,25,0,0,50,100,0,25,0,50,0,100,0,0,0,0,25,0,0,100,0
10.1016/j.cmi.2022.02.032,https://www.ncbi.nlm.nih.gov/sra/SRX14048693[accn],NCBI Sequence Read Archive (SRA),NCBI Sequence Read Archive (SRA),field-specific repository,no license,NULL,url,4.17,14.29,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1073/pnas.2120680119,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE142503,NCBI Gene Expression Omnibus (GEO),NCBI Gene Expression Omnibus (GEO),field-specific repository,no license,NULL,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.1038/s41467-022-32320-1,https://www.ncbi.nlm.nih.gov/gds/?term=GSE160301[Accession],NCBI Gene Expression Omnibus (GEO),NCBI Gene Expression Omnibus (GEO),field-specific repository,no license,NULL,url,4.17,14.29,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1038/s41467-022-32320-1,https://www.ebi.ac.uk/pride/archive/projects/PXD034391,PRoteomics IDEntifications Database,PRoteomics IDEntifications Database,field-specific repository,no license,CC0,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.1038/s41467-022-28626-9,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE164986,NCBI Gene Expression Omnibus (GEO),NCBI Gene Expression Omnibus (GEO),field-specific repository,no license,NULL,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.1038/s41467-022-28809-4,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE153666,NCBI Gene Expression Omnibus (GEO),NCBI Gene Expression Omnibus (GEO),field-specific repository,no license,NULL,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.1093/database/baac043,https://doi.org/10.5281/zenodo.6418451,Zenodo,Zenodo,general-purpose repository,no license,CC BY,doi,75,85.71,100,75,60,100,50,100,100,100,100,0,100,25,100,50,100,100,100,50,100,100,100,100,100,100,0,100,25,100,50,100,100
10.1093/gbe/evac100,https://www.ebi.ac.uk/ena/browser/view/ERR6740384,EMBL-EBI European Nucleotide Archive,EMBL-EBI European Nucleotide Archive,field-specific repository,no license,NULL,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.1093/gbe/evac100,https://doi.org/10.6084/m9.figshare.16695457.v5,figshare,figshare,general-purpose repository,no license,CC BY,doi,75,100,66.67,75,60,100,100,100,100,66.67,100,0,100,25,100,50,100,100,100,100,100,100,0,100,100,100,0,100,25,100,50,100,100
10.1093/cvr/cvac121,https://www.ncbi.nlm.nih.gov/bioproject/812410,NCBI Sequence Read Archive (SRA),NCBI Sequence Read Archive (SRA),field-specific repository,no license,NULL,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.1093/cvr/cvac121,https://doi.org/10.6084/m9.figshare.19114127.v1,figshare,figshare,general-purpose repository,no license,CC0,doi,75,100,66.67,75,60,100,100,100,100,66.67,100,0,100,25,100,50,100,100,100,100,100,100,0,100,100,100,0,100,25,100,50,100,100
10.1093/ve/veac066,https://www.ncbi.nlm.nih.gov/nuccore/ON256660,NCBI Nucleotide (Nuccore),NCBI Nucleotide (Nuccore),field-specific repository,no license,NULL,url,4.17,14.29,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1101/gr.275790.121,https://www.ebi.ac.uk/ena/browser/view/PRJEB40747,EMBL-EBI European Nucleotide Archive,EMBL-EBI European Nucleotide Archive,field-specific repository,no license,NULL,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.1073/pnas.2205470119,https://www.ncbi.nlm.nih.gov/sra/SRX8492759[accn],NCBI Sequence Read Archive (SRA),NCBI Sequence Read Archive (SRA),field-specific repository,no license,NULL,url,4.17,14.29,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1038/s41467-022-35198-1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE193622,NCBI Gene Expression Omnibus (GEO),NCBI Gene Expression Omnibus (GEO),field-specific repository,no license,NULL,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.1038/s41586-022-05344-2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE184287,NCBI Gene Expression Omnibus (GEO),NCBI Gene Expression Omnibus (GEO),field-specific repository,no license,NULL,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.3389/fphys.2022.1081622,https://doi.org/10.5281/zenodo.7228354,Zenodo,Zenodo,general-purpose repository,no license,CC BY,doi,79.17,100,100,75,60,100,100,100,100,100,100,0,100,25,100,50,100,100,100,100,100,100,100,100,100,100,0,100,25,100,50,100,100
10.1038/s41416-022-01833-3,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70458,NCBI Gene Expression Omnibus (GEO),NCBI Gene Expression Omnibus (GEO),field-specific repository,no license,NULL,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.1038/s41467-022-29433-y,https://doi.org/10.5281/zenodo.6338697,Zenodo,Zenodo,general-purpose repository,no license,CC BY,doi,66.67,85.71,66.67,75,50,100,100,0,100,66.67,100,0,100,25,100,50,50,100,100,100,0,100,100,100,0,100,0,100,25,100,50,100,0
10.1073/pnas.2105691119,https://www.ebi.ac.uk/ena/browser/view/PRJEB39828,EMBL-EBI European Nucleotide Archive,EMBL-EBI European Nucleotide Archive,field-specific repository,no license,NULL,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.1038/s41467-022-29176-w,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE136660,NCBI Gene Expression Omnibus (GEO),NCBI Gene Expression Omnibus (GEO),field-specific repository,no license,NULL,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.1038/s41467-022-29176-w,https://www.ncbi.nlm.nih.gov/sra/?term=PRJNA765498,NCBI Sequence Read Archive (SRA),NCBI Sequence Read Archive (SRA),field-specific repository,no license,NULL,url,4.17,14.29,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7554/elife.75047,https://doi.org/10.5281/zenodo.5643859,Zenodo,Zenodo,general-purpose repository,no license,CC BY,doi,62.5,71.43,66.67,75,50,100,50,0,100,66.67,100,0,100,25,100,50,50,100,100,50,0,100,100,100,0,100,0,100,25,100,50,100,0
10.7554/elife.75047,https://www.ebi.ac.uk/pride/archive/projects/PXD031972,PRoteomics IDEntifications Database,PRoteomics IDEntifications Database,field-specific repository,no license,CC0,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.1172/jci151363,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE145087,NCBI Gene Expression Omnibus (GEO),NCBI Gene Expression Omnibus (GEO),field-specific repository,no license,NULL,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.1093/scan/nsab109,https://osf.io/r7g9q/,Open Science Framework (OSF),Open Science Framework (OSF),general-purpose repository,no license,CC BY,url,37.5,42.86,33.33,25,40,50,50,0,50,33.33,50,0,0,25,50,50,50,100,0,50,0,50,0,100,0,50,0,0,25,50,50,100,0
