"title";"doi";"url";"research_org_names";"research_orgs";"year";"journal_title"
"FACT- Frankfurt adjusted COVID-19 testing- a novel method enables high-throughput SARS-CoV-2 screening without loss of sensitivity";"10.1101/2020.04.28.20074187";"10.1101/2020.04.28.20074187";"German Red Cross Blood Transfusion Service, Frankfurt, Germany;; Institute for Medical Virology, University Hospital, Goethe University, Frankfurt, Germany.; Institute for Medical Virology, University Hospital, Goethe University, Frankfurt, Germany.; Charité-Universitaetsmedizin, Institut fuer Virologie, Berlin, Germany; INSTAND Gesellschaft zur Foerderung der Qualitaetssicherung in medizinischen Laboratorien e.V., Duesseldorf, Germany; Institut fuer Qualitaetssicherung in der Virusdiagnostik - IQVD der GBD mbH, Berlin, Germany; German Red Cross Blood Transfusion Service, Frankfurt, Germany;; Germany Centre for Infection Research (DZIF), external partner site Frankfurt, Germany; Institute for Medical Virology, University Hospital, Goethe-University, Frankfurt, Germany; German Red Cross Blood Transfusion Service, Frankfurt, Germany;";"German Red Cross; Goethe University Frankfurt; Goethe University Frankfurt; Institut fuer Qualitaetssicherung in der Virusdiagnostik - IQVD der GBD mbH, Berlin, Germany; German Red Cross; Goethe University Frankfurt; German Red Cross";"2020";"medRxiv (Cold Spring Harbor Laboratory)"
"Clinical classifiers of COVID-19 infection from novel ultra-high-throughput proteomics";"10.1101/2020.04.27.20081810";"10.1101/2020.04.27.20081810";"The Francis Crick Institute, Molecular Biology of Metabolism Laboratory, London NW11AT, United Kingdom; Department of Biochemistry, The University of Cambridge, Cambridge, CB1GA, United Kingdom; The Francis Crick Institute, Molecular Biology of Metabolism Laboratory, London NWAT, United Kingdom; Charite Universitaetsmedizin, Berlin, Dept. of Infectious Diseases and Respiratory Medicine, 10117 Berlin, Germany;; Charite Universitaetsmedizin, Institute of Physiology, 10117 Berlin, Germany;; The Francis Crick Institute, Molecular Biology of Metabolism Laboratory, London NW11AT, United Kingdom; Charite Universitaetsmedizin, Core Facility - High Throughput Mass Spectrometry, 10117 Berlin, German;; Charite Universitaetsmedizin, Core Facility - High Throughput Mass Spectrometry, 10117 Berlin, Germany;; The Francis Crick Institute, Molecular Biology of Metabolism Laboratory, London NW11AT, United Kingdom; The Francis Crick Institute, Molecular Biology of Metabolism Laboratory, London NW11AT, United Kingdom; The Francis Crick Institute, Molecular Biology of Metabolism Laboratory, London NW11AT, United Kingdom; Charite Universitaetsmedizin, Department of Biochemistry, 10117 Berlin, Germany;; Charite Universitaetsmedizin, Department of Biochemistry, 10117 Berlin, Germany;; Charite Universitaetsmedizin, Department of Biochemistry, 10117 Berlin, Germany;; The Francis Crick Institute, Molecular Biology of Metabolism Laboratory, London NWAT, United Kingdom; Department of Biology and Biological Engineering, Chalmers University of Technology, Gothenburg SE-412 96, Sweden; Charite Universitaetsmedizin, Berlin, Dept. of Infectious Diseases and Respiratory Medicine, 10117 Berlin, Germany;; Charite Universitaetsmedizin, Berlin, Dept. of Infectious Diseases and Respiratory Medicine, 10117 Berlin, Germany;; Charite Universitaetsmedizin, Berlin, Dept. of Infectious Diseases and Respiratory Medicine, 10117 Berlin, Germany;; Charite Universitaetsmedizin, Berlin, Dept. of Infectious Diseases and Respiratory Medicine, 10117 Berlin, Germany;; Berlin Institute of Health (BIH), and  Charite Universitaetsmedizin, Clinical Study Center (CSC), 10117 Berlin, Germany;; Centre for Genomic and Experimental Medicine, Institute of Genetics and Molecular Medicine, University of Edinburgh United Kingdom and Usher Institute, University of Edinburgh, Nine, Edinburgh Bioquarter, 9 Little France Road, Edinburgh, EH16 4UX;; MRC Human Genetics Unit, Institute of Genetics and Molecular Medicine, University of Edinburgh, Edinburgh EH4 2XU, United Kingdom; Centre for Genomic and Experimental Medicine, Institute of Genetics and Molecular Medicine, University of Edinburgh EH4 2XU, United Kingdom; Centre for Genomic and Experimental Medicine, Institute of Genetics and Molecular Medicine, University of Edinburgh EH4 2XU, United Kingdom; The Francis Crick Institute, Molecular Biology of Metabolism Laboratory, London NWAT, United Kingdom; MRC Epidemiology Unit, Institute of Metabolic Science, University of Cambridge, Cambridge CB2 0QQ, United Kingdom; Department of Biochemistry, The University of Cambridge, Cambridge, CB21GA, United Kingdom; Charite Universitaetsmedizin, Berlin, Institute of Physiology, 10117 Berlin, Germany;; Charite Universitaetsmedizin, Core Facility - High Throughput Mass Spectrometry, 10117 Berlin, Germany;; Charite Universitaetsmedizin, Berlin, Department of Virology, 10117 Berlin, Germany;; Charite Universitaetsmedizin, Berlin, Dept. of Infectious Diseases and Respiratory Medicine, 10117 Berlin, Germany;; Charite Universitaetsmedizin, Berlin, Dept. of Infectious Diseases and Respiratory Medicine, 10117 Berlin, Germany and Department of Tropical Medicine, Bernhard Nocht Institute for Tropical Medicine, Hamburg, Germany;; Charite Universitaetsmedizin, Berlin, Dept. of Infectious Diseases and Respiratory Medicine, 10117 Berlin, Germany;; The Francis Crick Institute, Molecular Biology of Metabolism Laboratory, London NWAT, United Kingdom; Charité Universitätsmedizin Berlin, Department of Biochemistry, 10117 Berlin, Germany";"The Francis Crick Institute; The Francis Crick Institute; Charité - Universitätsmedizin Berlin; Charité - Universitätsmedizin Berlin; The Francis Crick Institute; Charité - Universitätsmedizin Berlin; Charité - Universitätsmedizin Berlin; The Francis Crick Institute; The Francis Crick Institute; The Francis Crick Institute; Charité - Universitätsmedizin Berlin; Charité - Universitätsmedizin Berlin; Charité - Universitätsmedizin Berlin; The Francis Crick Institute; Charité - Universitätsmedizin Berlin; Charité - Universitätsmedizin Berlin; Charité - Universitätsmedizin Berlin; Charité - Universitätsmedizin Berlin; Berlin Institute of Health at Charité - Universitätsmedizin Berlin; University of Edinburgh; MRC Institute of Genetics and Molecular Medicine; University of Edinburgh; University of Edinburgh; The Francis Crick Institute; University of Cambridge; Charité - Universitätsmedizin Berlin; Charité - Universitätsmedizin Berlin; Charité - Universitätsmedizin Berlin; Charité - Universitätsmedizin Berlin; Bernhard Nocht Institute for Tropical Medicine; Charité - Universitätsmedizin Berlin; The Francis Crick Institute";"2020";"medRxiv (Cold Spring Harbor Laboratory)"
"Regulated compartmentalization of enzymes in Golgi by GRASP55 controls cellular glycosphingolipid profile and function";"10.1101/2020.05.03.074682";"10.1101/2020.05.03.074682";"Institute of Biochemistry and Cell Biology, National Research Council of Italy;; Institute of Biochemistry and Cell Biology, National Research Council of Italy;; Institute of Biochemistry and Cell Biology, National Research Council of Italy;; Institute of Biochemistry and Cell Biology, National Research Council of Italy;; Institute of Biochemistry and Cell Biology, National Research Council of Italy;; Institute of Biochemistry and Cell Biology, National Research Council of Italy;; Center for Biochemistry; Division of Rheumatology, Inflammation and Immunity, Brigham and Women’s Hospital, and Department of Medicine, Harvard Medical School; Institute of Biochemistry and Cell Biology, National Research Council of Italy;; Ecole Polytechnique Fédérale de Lausanne (EPFL); Stony Brook University, Medical Center; National Center of Biological Sciences; Institute of Biochemistry and Cell Biology, National Research Council of Italy;; Institute of Biochemistry and Cell Biology, National Research Council of Italy;; Division of Glycopathology, Institute of Molecular Biomembrane and Glycobiology,Tohoku Medical and Pharmaceutical University; Universitätsmedizin Berlin Institut für Biochemie Charité CrossOver Charitéplatz 1 / Sitz: Virchowweg 610117 Berlin; National Center of Biological Sciences; Division of Glycopathology, Institute of Molecular Biomembrane and Glycobiology,Tohoku Medical and Pharmaceutical University; Division of Rheumatology, Inflammation and Immunity, Brigham and Women’s Hospital, and Department of Medicine, Harvard Medical School; Center for Biochemistry; Stony Brook University, Medical Center; Stony Brook University, Medical Center; Institute of Biochemistry and Cell Biology, National Research Council of Italy;; Ecole Polytechnique Fédérale de Lausanne (EPFL); Institute of Biochemistry and Cell Biology, National Research Council of Italy;";"Institute of Cell Biology and Neurobiology; Institute of Cell Biology and Neurobiology; Institute of Cell Biology and Neurobiology; Institute of Cell Biology and Neurobiology; Institute of Cell Biology and Neurobiology; Institute of Cell Biology and Neurobiology; Center for Biochemistry; Brigham and Women's Hospital; Institute of Cell Biology and Neurobiology; École Polytechnique Fédérale de Lausanne; Stony Brook University Hospital; National Center of Biological Sciences; Institute of Cell Biology and Neurobiology; Institute of Cell Biology and Neurobiology; Tohoku Medical and Pharmaceutical University; Charité - Universitätsmedizin Berlin; National Center of Biological Sciences; Tohoku Medical and Pharmaceutical University; Brigham and Women's Hospital; Center for Biochemistry; Stony Brook University Hospital; Stony Brook University Hospital; Institute of Cell Biology and Neurobiology; École Polytechnique Fédérale de Lausanne; Institute of Cell Biology and Neurobiology";"2020";"bioRxiv (Cold Spring Harbor Laboratory)"
"Molecular-Based Cross-Species Evaluation of Bovine Coronavirus Infection in Cattle, Sheep and Goats in Ghana.";"10.21203/rs.3.rs-24727/v1";"10.21203/rs.3.rs-24727/v1";"Kwame Nkrumah University of Science and Technology; Kwame Nkrumah University of Science and Technology; Kwame Nkrumah University of Science and Technology; Kwame Nkrumah University of Science and Technology; Kwame Nkrumah University of Science and Technology; Kwame Nkrumah University of Science and Technology; Kwame Nkrumah University of Science and Technology; Kwame Nkrumah University of Science and Technology; Kwame Nkrumah University of Science and Technology; Kwame Nkrumah University of Science and Technology; Kwame Nkrumah University of Science and Technology; Kwame Nkrumah University of Science and Technology; Kwame Nkrumah University of Science and Technology; Kwame Nkrumah University of Science and Technology; Kwame Nkrumah University of Science and Technology; Charite Universitatsmedizin Berlin";"Kwame Nkrumah University; Kwame Nkrumah University; Kwame Nkrumah University; Kwame Nkrumah University; Kwame Nkrumah University; Kwame Nkrumah University; Kwame Nkrumah University; Kwame Nkrumah University; Kwame Nkrumah University; Kwame Nkrumah University of Science and Technology; Kwame Nkrumah University of Science and Technology; Kwame Nkrumah University; Kwame Nkrumah University; Kwame Nkrumah University; Kwame Nkrumah University; Charité - Universitätsmedizin Berlin";"2020";"Research Square"
"Bulk and single-cell gene expression profiling of SARS-CoV-2 infected human cell lines identifies molecular targets for therapeutic intervention";"10.1101/2020.05.05.079194";"10.1101/2020.05.05.079194";"Berlin Institute for Medical Systems Biology, Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association, Hannoversche Str 28, 05 Berlin, Germany; Institute of Virology, Charité-Universitätsmedizin Berlin and Berlin Institute of Health, Charitéplatz 1, 10117 Berlin, Germany; Berlin Institute for Medical Systems Biology, Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association, Hannoversche Str 28, 05 Berlin, Germany; Berlin Institute for Medical Systems Biology, Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association, Hannoversche Str 28, 05 Berlin, Germany; Institute of Virology, Charité-Universitätsmedizin Berlin and Berlin Institute of Health, Charitéplatz 1, 10117 Berlin, Germany; Berlin Institute for Medical Systems Biology, Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association, Hannoversche Str 28, 05 Berlin, Germany; Department of Pediatrics, Charité – University Hospital Berlin, 13353 Berlin, Germany; Berlin Institute for Medical Systems Biology, Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association, Hannoversche Str 28, 05 Berlin, Germany; Berlin Institute for Medical Systems Biology, Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association, Hannoversche Str 28, 05 Berlin, Germany; Berlin Institute for Medical Systems Biology, Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association, Hannoversche Str 28, 05 Berlin, Germany; Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association, Robert-Rössle-Strasse 10, 112, Berlin, Germany; Institute of Virology, Charité-Universitätsmedizin Berlin and Berlin Institute of Health, Charitéplatz 1, 10117 Berlin, Germany; Berlin Institute for Medical Systems Biology, Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association, Hannoversche Str 28, 05 Berlin, Germany; Core Unit Bioinformatics, Berlin Institute of Health, Charité – University Hospital Berlin, 10117 Berlin, Germany; Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association, Robert-Rössle-Strasse 10, 112, Berlin, Germany; Berlin Institute for Medical Systems Biology, Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association, Hannoversche Str 28, 05 Berlin, Germany; Institute of Virology, Charité-Universitätsmedizin Berlin and Berlin Institute of Health, Charitéplatz 1, 10117 Berlin, Germany; Institute of Virology, Charité-Universitätsmedizin Berlin and Berlin Institute of Health, Charitéplatz 1, 10117 Berlin, Germany; Institute of Virology, Charité-Universitätsmedizin Berlin and Berlin Institute of Health, Charitéplatz 1, 10117 Berlin, Germany; Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association, Robert-Rössle-Strasse 10, 112, Berlin, Germany; Berlin Institute for Medical Systems Biology, Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association, Hannoversche Str 28, 05 Berlin, Germany; Berlin Institute for Medical Systems Biology, Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association, Hannoversche Str 28, 05 Berlin, Germany; Institute of Virology, Charité-Universitätsmedizin Berlin and Berlin Institute of Health, Charitéplatz 1, 10117 Berlin, Germany; IRI Life Sciences, Institut für Biologie, Humboldt Universität zu Berlin, Philippstraße 13, 10115, Berlin, Germany; Berlin Institute for Medical Systems Biology, Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association, Hannoversche Str 28, 05 Berlin, Germany";"Max Delbrück Center for Molecular Medicine; Berlin Institute of Health at Charité - Universitätsmedizin Berlin; Max Delbrück Center for Molecular Medicine; Max Delbrück Center for Molecular Medicine; Berlin Institute of Health at Charité - Universitätsmedizin Berlin; Max Delbrück Center for Molecular Medicine; Max Delbrück Center for Molecular Medicine; Max Delbrück Center for Molecular Medicine; Max Delbrück Center for Molecular Medicine; Max Delbrück Center for Molecular Medicine; Berlin Institute of Health at Charité - Universitätsmedizin Berlin; Max Delbrück Center for Molecular Medicine; Berlin Institute of Health at Charité - Universitätsmedizin Berlin; Max Delbrück Center for Molecular Medicine; Max Delbrück Center for Molecular Medicine; Berlin Institute of Health at Charité - Universitätsmedizin Berlin; Berlin Institute of Health at Charité - Universitätsmedizin Berlin; Berlin Institute of Health at Charité - Universitätsmedizin Berlin; Max Delbrück Center for Molecular Medicine; Max Delbrück Center for Molecular Medicine; Max Delbrück Center for Molecular Medicine; Berlin Institute of Health at Charité - Universitätsmedizin Berlin; Max Delbrück Center for Molecular Medicine";"2020";"bioRxiv (Cold Spring Harbor Laboratory)"
"Cross-talk between the airway epithelium and activated immune cells defines severity in COVID-19";"10.1101/2020.04.29.20084327";"10.1101/2020.04.29.20084327";"Center for Digital Health, Berlin Institute of Health (BIH) and Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin; Center for Digital Health, Berlin Institute of Health (BIH) and Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin; Molecular Epidemiology Unit, Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health (BIH); Center for Digital Health, Berlin Institute of Health (BIH) and Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin; Department of Infectious Diseases and Respiratory Medicine, Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health (BIH); Berlin Institute of Health (BIH), Berlin, Germany; Institute of Viroloy, Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health (BIH), Berlin, Germany; Center for Digital Health, Berlin Institute of Health (BIH) and Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin; Molecular Epidemiology Unit, Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health (BIH); Department of Infectious Diseases and Respiratory Medicine, Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health (BIH); Department of Tropical Medicine, Bernhard Nocht Institute for Tropical Medicine & I. Department of Medicine, University Medical Center Hamburg-Eppendorf; Berlin Institute of Health (BIH), Berlin, Germany; Institute of Viroloy, Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health (BIH), Berlin, Germany; Sequencing Core Facility, Max Planck Institute for Molecular Genetics; Center for Digital Health, Berlin Institute of Health (BIH) and Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin; Center for Digital Health, Berlin Institute of Health (BIH) and Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin; Department of Infectious Diseases and Respiratory Medicine, Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health (BIH); Department of Infectious Diseases and Respiratory Medicine, Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health (BIH); Clinical Study Center, Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health (BIH); Clinical Study Center, Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health (BIH); Department of Anesthesiology and Intensive Care Medicine, Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health (BIH); Center for Digital Health, Berlin Institute of Health (BIH) and Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin; Molecular Epidemiology Unit, Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health (BIH); Center for Digital Health, Berlin Institute of Health (BIH) and Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin; Center for Digital Health, Berlin Institute of Health (BIH) and Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin; Clinical Study Center, Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health (BIH); Department of Infectious Diseases and Respiratory Medicine, Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health (BIH); Department of Infectious Diseases and Respiratory Medicine, Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health (BIH); Berlin Institute of Health (BIH), Berlin, Germany; Institute of Viroloy, Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health (BIH), Berlin, Germany; Institute of Viroloy, Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health (BIH); Department of Anesthesiology and Intensive Care, University Hospital Leipzig; Molecular Epidemiology Unit, Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health (BIH), Berlin, Germany; German Center for Lung Research (DZL), Germany; Center for Digital Health, Berlin Institute of Health (BIH) and Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin; Department of Infectious Diseases and Respiratory Medicine, Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health (BIH); Center for Digital Health, Berlin Institute of Health (BIH) and Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin, Berlin, Germany; German Center for Lung Research (DZL), Germany; Health Data Science Unit, Heidelberg University Hospital and BioQuant, Heidelberg, Germany";"Berlin Institute of Health at Charité - Universitätsmedizin Berlin; Berlin Institute of Health at Charité - Universitätsmedizin Berlin; Humboldt-Universität zu Berlin; Freie Universität Berlin; Charité - Universitätsmedizin Berlin; Charité - Universitätsmedizin Berlin; Humboldt-Universität zu Berlin; Charité - Universitätsmedizin Berlin; Freie Universität Berlin; Charité - Universitätsmedizin Berlin; Max Planck Institute for Molecular Genetics; Humboldt-Universität zu Berlin; Humboldt-Universität zu Berlin; Charité - Universitätsmedizin Berlin; Charité - Universitätsmedizin Berlin; Charité - Universitätsmedizin Berlin; Charité - Universitätsmedizin Berlin; Charité - Universitätsmedizin Berlin; Humboldt-Universität zu Berlin; Charité - Universitätsmedizin Berlin; Humboldt-Universität zu Berlin; Humboldt-Universität zu Berlin; Charité - Universitätsmedizin Berlin; Charité - Universitätsmedizin Berlin; Charité - Universitätsmedizin Berlin; Charité - Universitätsmedizin Berlin; Humboldt-Universität zu Berlin; University Hospital Leipzig; Humboldt-Universität zu Berlin; Humboldt-Universität zu Berlin; Charité - Universitätsmedizin Berlin; Berlin Institute of Health at Charité - Universitätsmedizin Berlin";"2020";"medRxiv (Cold Spring Harbor Laboratory)"
"Rapid T cell receptor interaction grouping with ting";"10.1101/2020.05.04.069914";"10.1101/2020.05.04.069914";"Genome Informatics, Institute of Human Genetics, University of Duisburg-Essen;; Center for Translational Medicine, Medical Clinic I, Marien Hospital Herne, Ruhr-University Bochum;; BIH Center for Regenerative Therapies, Charité-Universitätsmedizin Berlin, Berlin, Germany.; Institute of Immunology Christian‐Albrechts Universität zu Kiel and Universitätsklinik Schleswig‐Holstein Kiel Germany; Center for Translational Medicine, Medical Clinic I, Marien Hospital Herne, Ruhr-University Bochum;; Genome Informatics, Institute of Human Genetics, University of Duisburg-Essen;";"Genome Informatics, Institute of Human Genetics, University of Duisburg-Essen;; Center for Translational Medicine, Medical Clinic I, Marien Hospital Herne, Ruhr-University Bochum;; Berlin Institute of Health at Charité - Universitätsmedizin Berlin; Kiel University; Center for Translational Medicine, Medical Clinic I, Marien Hospital Herne, Ruhr-University Bochum;; Genome Informatics, Institute of Human Genetics, University of Duisburg-Essen;";"2020";"bioRxiv (Cold Spring Harbor Laboratory)"
"Single-cell RNA sequencing reveals subset-specific functional reprogramming of CD4+ T-cells from PLHIV upon ex vivo HDAC inhibition and biomarkers of cells harbouring non-silent proviruses";"10.1101/2020.05.04.075119";"10.1101/2020.05.04.075119";"Institute of Virology, Campus Charité Mitte, Charité - Universitätsmedizin Berlin; Institute of Virology, Campus Charité Mitte, Charité - Universitätsmedizin Berlin; Berlin Institute for Medical Systems Biology, Max Delbrück Center for Molecular Medicine in the Helmholtz Association; Scientific Genomics Platforms, Laboratory of Functional Genomics, Nutrigenomics and Systems Biology, Max Delbrück Center for Molecular Medicine; Institute of Virology, Campus Charité Mitte, Charité - Universitätsmedizin Berlin; Division of HIV and Other Retroviruses, Robert Koch Institute; Scientific Genomics Platforms, Laboratory of Functional Genomics, Nutrigenomics and Systems Biology, Max Delbrück Center for Molecular Medicine; Scientific Genomics Platforms, Laboratory of Functional Genomics, Nutrigenomics and Systems Biology, Max Delbrück Center for Molecular Medicine; Scientific Genomics Platforms, Laboratory of Functional Genomics, Nutrigenomics and Systems Biology, Max Delbrück Center for Molecular Medicine; Institute of Virology, Campus Charité Mitte, Charité - Universitätsmedizin Berlin; Division of HIV and Other Retroviruses, Robert Koch Institute; IRI Life Sciences, Institute für Biologie, Humboldt Universität zu Berlin; Berlin Institute for Medical Systems Biology, Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association; Institute of Virology, Campus Charité Mitte, Charité - Universitätsmedizin Berlin";"Charité - Universitätsmedizin Berlin; Charité - Universitätsmedizin Berlin; Max Delbrück Center for Molecular Medicine; Max Delbrück Center for Molecular Medicine; Charité - Universitätsmedizin Berlin; Robert Koch Institute; Max Delbrück Center for Molecular Medicine; Max Delbrück Center for Molecular Medicine; Max Delbrück Center for Molecular Medicine; Robert Koch Institute; Max Delbrück Center for Molecular Medicine; Charité - Universitätsmedizin Berlin";"2020";"bioRxiv (Cold Spring Harbor Laboratory)"
"Geospatial precision simulations of community confined human interactions during SARS-CoV-2 transmission reveals bimodal intervention outcomes";"10.1101/2020.05.03.20089235";"10.1101/2020.05.03.20089235";"Humboldt-Universität zu Berlin, Theoretical Biophysics; Humboldt-Universität zu Berlin, Theoretical Biophysics; Institut für Biochemie, Charité – Universitätsmedizin Berlin; Humboldt-Universität zu Berlin, Theoretical Biophysics; Humboldt-Universität zu Berlin, Theoretical Biophysics; Humboldt-Universität zu Berlin, Theoretical Biophysics; Humboldt-Universität zu Berlin, Theoretical Biophysics; Humboldt-Universität zu Berlin, Theoretical Biophysics; Humboldt-Universität zu Berlin, Theoretical Biophysics; Humboldt-Universität zu Berlin, Theoretical Biophysics; Humboldt-Universität zu Berlin, Theoretical Biophysics; Humboldt-Universität zu Berlin, Theoretical Biophysics; Humboldt-Universität zu Berlin, Theoretical Biophysics; Humboldt-Universität zu Berlin, Theoretical Biophysics; Humboldt-Universität zu Berlin, Theoretical Biophysics; Humboldt-Universität zu Berlin, Theoretical Biophysics; Rewire Tx, Humboldt-Universität zu Berlin; Rewire Tx, Humboldt-Universität zu Berlin; Humboldt-Universität zu Berlin, Theoretical Biophysics";"Humboldt-Universität zu Berlin; Humboldt-Universität zu Berlin; Humboldt-Universität zu Berlin; Humboldt-Universität zu Berlin; Humboldt-Universität zu Berlin; Humboldt-Universität zu Berlin; Humboldt-Universität zu Berlin; Humboldt-Universität zu Berlin; Humboldt-Universität zu Berlin; Humboldt-Universität zu Berlin; Humboldt-Universität zu Berlin; Humboldt-Universität zu Berlin; Humboldt-Universität zu Berlin; Humboldt-Universität zu Berlin; Humboldt-Universität zu Berlin; Humboldt-Universität zu Berlin; Humboldt-Universität zu Berlin; Humboldt-Universität zu Berlin";"2020";"medRxiv (Cold Spring Harbor Laboratory)"
"Conserved long-range base pairings are associated with pre-mRNA processing of human genes";"10.1101/2020.05.05.076927";"10.1101/2020.05.05.076927";"Institute of Pathology, Charité Universitätsmedizin Berlin; Skolkovo Institute of Science and Technology; Skolkovo Institute of Science and Technology#TAB#; Skolkovo Institute of Science and Technology#TAB#; Skolkovo Institute of Science and Technology#TAB#; Faculty of Chemistry Moscow State University; Center for Genomic Regulation and UPF; Skolkovo Institute of Science and Technology#TAB#";"Charité - Universitätsmedizin Berlin; Skolkovo Institute of Science and Technology; Skolkovo Institute of Science and Technology; Skolkovo Institute of Science and Technology; Moscow State University; Center for Genomic Regulation and UPF; Skolkovo Institute of Science and Technology";"2020";"bioRxiv (Cold Spring Harbor Laboratory)"
